"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00215899
"SCvolta1",0.975721531216037,1658,52,1658,0.0999999999999999,"3oT","laplace",2,2.45588336206301,8.10691513176194,"ref848_SC_1272.txt",0.00214349
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0127399
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0127399
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0124284
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0137026
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0137026
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.012052
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0131761
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0131761
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.012052
"ESsoor",1,1468,226,1468,0.0999999999999999,"3oT","laplace",2,2.6099787548594,8.66619539026738,"ref8_ES_10.txt",0.0124284
