"SiteCode","MN","k","S_SAD.obs","GOF","p.value_mean","p.value_var","S_mean","S_var","p","J","S","DA","d","U_med","U_var"
"MGarap1","EE",0.99,94,57,0.155295007894844,0.0422548772256049,91.99,55.7271717171717,0.728749442631224,2080,92,2080,0.560507741767309,0.001494483,1.20411057344444e-08
"MGarap1","EI",0.05,94,0,0.0035739465102639,7.82393711782241e-06,449.71,266.00595959596,0.728749442631224,2080,92,2080,10.7964483510617,0.002612616,4.33973229333333e-09
"MGarap1","EI",0.5,94,100,0.803214053090697,0.036513204436304,145.22,90.3753535353535,0.728749442631224,2080,92,2080,2.29517632263241,0.003935718,8.35200241733333e-08
"MGarap1","EI",0.99,94,63,0.17786003544866,0.0346450334320623,47,37.2727272727273,0.728749442631224,2080,92,2080,0.560507741767309,0.001494483,1.20411057344444e-08
"MGperd1","EE",0.05,355,28,0.0601250274976555,0.0119702468706435,126.75,93.4015151515152,0.806018045548929,2965,127,2470.83333333333,10.0095301233526,0.003020423,3.22703942333334e-09
"MGperd1","EE",0.5,355,0,4.81548836021373e-05,6.31981750306493e-08,124.53,78.4132323232323,0.806018045548929,2965,127,2470.83333333333,2.10883964947758,0.004182006,2.58037553822223e-08
"MGperd1","EE",0.99,355,0,1.56607588236657e-05,5.53206697453793e-09,125.66,91.7822222222222,0.806018045548929,2965,127,2470.83333333333,0.516533900730306,0.001541755,6.44637089444445e-09
"MGperd1","EI",0.05,355,0,0.000418943471367309,4.25431224943587e-07,692.09,420.567575757576,0.806018045548929,2965,127,2470.83333333333,10.0095301233526,0.003020423,3.22703942333334e-09
"MGperd1","EI",0.5,355,6,0.0185476441044267,0.000885181846452695,222.43,160.065757575758,0.806018045548929,2965,127,2470.83333333333,2.10883964947758,0.004182006,2.58037553822223e-08
"MGperd1","EI",0.99,355,1,0.000966888026219859,3.55877619912658e-05,72.2,45.030303030303,0.806018045548929,2965,127,2470.83333333333,0.516533900730306,0.001541755,6.44637089444445e-09
"MGuberl1","EE",0.05,89,73,0.213860941219326,0.0574643492437802,88.11,106.523131313131,0.234288719011765,1379,87,1253.63636363636,14.1301530079544,0.01409951,8.52076054444444e-08
"MGuberl1","EE",0.5,89,84,0.293558464464193,0.0610244902564302,87.91,66.5675757575758,0.234288719011765,1379,87,1253.63636363636,2.95120892486673,0.0136072,1.92933113333333e-07
"MGuberl1","EE",0.99,89,100,0.789833981547176,0.0561877603180959,85.37,51.1647474747475,0.234288719011765,1379,87,1253.63636363636,0.723610610691344,0.004003137,1.06451413788889e-08
"MGuberl1","EI",0.05,89,60,0.0857107265901928,0.00499406432717405,180.66,119.438787878788,0.234288719011765,1379,87,1253.63636363636,14.1301530079544,0.01409951,8.52076054444444e-08
"MGuberl1","EI",0.5,89,94,0.522378108176494,0.0908867509062721,50.14,38.8286868686869,0.234288719011765,1379,87,1253.63636363636,2.95120892486673,0.0136072,1.92933113333333e-07
"MGuberl1","EI",0.99,89,72,0.229963151261628,0.0574221585364291,16.1,12.1313131313131,0.234288719011765,1379,87,1253.63636363636,0.723610610691344,0.004003137,1.06451413788889e-08
"MGuberl3","EE",0.05,86,37,0.0687615124200779,0.00896937986469705,81.22,78.7591919191919,0.0180417237953712,975,85,975,15.8757500458072,0.01643158,3.34405040000001e-08
"MGuberl3","EE",0.5,86,99,0.639460913528715,0.0806902010363153,84.27,66.340505050505,0.0180417237953712,975,85,975,3.36711050361698,0.01457848,2.05712551111111e-08
"MGuberl3","EE",0.99,86,100,0.846702176782586,0.036815008156376,85.43,67.9849494949495,0.0180417237953712,975,85,975,0.826024064223155,0.005321612,6.52238535111111e-09
"MGuberl3","EI",0.05,86,74,0.208017069114734,0.0342273699179219,19.23,20.5425252525253,0.0180417237953712,975,85,975,15.8757500458072,0.01643158,3.34405040000001e-08
"MGuberl3","EI",0.5,86,67,0.260595004686756,0.079181784638363,4.91,4.24434343434343,0.0180417237953712,975,85,975,3.36711050361698,0.01457848,2.05712551111111e-08
"MGuberl3","EI",0.99,86,80,0.282061038384672,0.0525627255812231,1.85,0.916666666666667,0.0180417237953712,975,85,975,0.826024064223155,0.005321612,6.52238535111111e-09
"MGuberl5","EE",0.05,69,9,0.0146530684902583,0.000678820845669869,68.22,62.84,0.00742437918995731,957,68,957,15.9048772783671,0.01691004,1.28058913777778e-07
"MGuberl5","EE",0.5,69,61,0.163540809707443,0.0364838452495165,65.5,38.1919191919192,0.00742437918995731,957,68,957,3.40059756613116,0.0144346,6.98297111111112e-08
"MGuberl5","EE",0.99,69,86,0.379441035103895,0.104298496947899,66.42,48.1450505050505,0.00742437918995731,957,68,957,0.830243128435876,0.005415018,3.48661210666665e-09
