"SiteCode";"MN";"k";"p";"n_SAD.N.ref";"n_SAD.ref";"S.MN_mean";"U_med";"Ntotal";"Stotal";"DA";"d";"m_";"theta";"U_var";"S.MN_var";"p.value_mean";"p.value_var";"D_mean";"D_var";"S.obs_mean";"S.obs_var";"k.0"
"SPcamp1";"EI";0.0999999999999999;0.103504530803381;1;99;42.34;0.01828673;1098.95;152;1098.95;10.0053003322575;0.00781865015811892;7627.63891403332;2.91411444555556e-07;28.9539393939394;0.00490085821689412;7.94571924501922e-05;0.346821112408621;0.00344413257942639;152;0;0.0999999999999999
"SPcamp1";"EE";0.05;0.103504530803381;0;100;153.16;0.0168574;1098.95;152;1098.95;15.0408391614817;0.0121673104798034;7021.22372934289;2.50974215555556e-07;163.024646464646;9.71933058407182e-05;2.28487572174078e-09;0.256578947368421;0;152;0;0.05
"SPcamp1";"EI";0.05;0.103504530803381;0;100;59.49;0.0168574;1098.95;152;1098.95;15.0408391614817;0.0121673104798034;7021.22372934289;2.50974215555556e-07;44.3938383838384;0.00226868014873921;1.05353823506528e-05;0.314936548624157;0.00262853096045747;152;0;0.05
"RScach2";"EE";0.99;0.104200232371204;99;1;47.35;0.001144109;1904;48;1904;0.585052043376944;0.000432673821672364;818.091896513927;7.27706007666667e-09;38.1085858585859;0.522554777846609;0.0657582822675156;0.173281775457184;0.00217776556403175;48;0;0.99
"RScach2";"EI";0.99;0.104200232371204;76;24;7.14;0.001144109;1904;48;1904;0.585052043376944;0.000432673821672364;818.091896513927;7.27706007666667e-09;5.03070707070707;0.276890537185327;0.073326768173267;0.469702811077811;0.0263545071979029;48;0;0.99
"RScach2";"EE";0.95;0.104200232371204;97;3;47.48;0.0011403005;1904;48;1904;0.833981279718044;0.00061774651066555;815.365530510796;5.48849749138889e-09;32.7975757575758;0.445349087808178;0.0528776902130832;0.183621859369491;0.00174960135728831;48;0;0.95
"RScach2";"EI";0.95;0.104200232371204;82;18;9.39;0.0011403005;1904;48;1904;0.833981279718044;0.00061774651066555;815.365530510796;5.48849749138889e-09;7.25040404040404;0.306854839502378;0.063513102977764;0.39838813963814;0.0214796059407493;48;0;0.95
"RScach2";"EE";0.9;0.104200232371204;100;0;47.88;0.001117188;1904;48;1904;1.01667855156963;0.000753951156621238;798.820582112876;1.10432037333333e-09;22.9349494949495;0.535238580425753;0.0617001770431142;0.169251747441185;0.00174453227277148;48;0;0.9
"RScach2";"EI";0.9;0.104200232371204;83;17;11.03;0.001117188;1904;48;1904;1.01667855156963;0.000753951156621238;798.820582112876;1.10432037333333e-09;9.14050505050505;0.320885083884271;0.0745249411192748;0.362544508595979;0.0146445054199891;48;0;0.9
"RScach2";"EE";0.85;0.104200232371204;100;0;47.55;0.001155873;1904;48;1904;1.17932741728975;0.000875476545643499;826.513445600214;6.56620995666666e-09;22.3308080808081;0.532829985358558;0.063540682132248;0.169887131027431;0.0018115446727155;48;0;0.85
"RScach2";"EI";0.85;0.104200232371204;84;16;12.45;0.001155873;1904;48;1904;1.17932741728975;0.000875476545643499;826.513445600214;6.56620995666666e-09;6.27020202020202;0.357957126547242;0.0835809284762013;0.333264612752229;0.0134912622900033;48;0;0.85
"RScach2";"EE";0.8;0.104200232371204;99;1;48.21;0.001176299;1904;48;1904;1.33425844230673;0.000991470290725405;841.136371937783;4.78368858777778e-09;22.3493939393939;0.481026414253621;0.0527568271057035;0.175944561335353;0.00146068502611033;48;0;0.8
"RScach2";"EI";0.8;0.104200232371204;85;15;13.88;0.001176299;1904;48;1904;1.33425844230673;0.000991470290725405;841.136371937783;4.78368858777778e-09;11.6824242424242;0.330762266051966;0.083104677950185;0.32292400824673;0.010114942433995;48;0;0.8
"RScach2";"EE";0.75;0.104200232371204;95;5;49.84;0.004095147;1904;48;1904;1.48994509267667;0.00110826127698128;2936.90008220807;3.72394578455556e-08;53.0650505050505;0.646202432833375;0.0801165744135016;0.15199879729394;0.00253119820810153;48;0;0.75
"RScach2";"EI";0.75;0.104200232371204;83;17;14.4;0.004095147;1904;48;1904;1.48994509267667;0.00110826127698128;2936.90008220807;3.72394578455556e-08;12.7676767676768;0.33192845314324;0.0949174219779647;0.320600392778876;0.0128207574511599;48;0;0.75
"RScach2";"EE";0.7;0.104200232371204;100;0;47.4;0.00394983;1904;48;1904;1.63726053169722;0.00121898678301505;2832.27040509425;2.55010953111111e-08;34.020202020202;0.671073807192617;0.0797223649231231;0.146852329887332;0.0018675545716324;48;0;0.7
"RScach2";"EI";0.7;0.104200232371204;79;21;16.71;0.00394983;1904;48;1904;1.63726053169722;0.00121898678301505;2832.27040509425;2.55010953111111e-08;14.6120202020202;0.315374502193487;0.0844408447664731;0.309186718301815;0.0103591666555403;48;0;0.7
"RScach2";"EE";0.65;0.104200232371204;99;1;47.23;0.003994792;1904;48;1904;1.80420860417486;0.00134472128092618;2864.64022791512;1.76253835066667e-08;33.9970707070707;0.691544463655444;0.0646227216843174;0.14599374259682;0.00173644710046665;48;0;0.65
"RScach2";"EI";0.65;0.104200232371204;84;16;17.4;0.003994792;1904;48;1904;1.80420860417486;0.00134472128092618;2864.64022791512;1.76253835066667e-08;17.5959595959596;0.325992856801945;0.0780297431190541;0.296464933488984;0.00865459980203465;48;0;0.65
"RScach2";"EE";0.6;0.104200232371204;99;1;47.51;0.003889446;1904;48;1904;1.98321231049333;0.00147983448600034;2788.80230612459;4.33273181822222e-08;46.2322222222222;0.650113845241624;0.0727132495755328;0.149830852564807;0.00194179965451864;48;0;0.6
