SiteCode,k,S_obs,kernel_code,d,txt.name,U,.n
BAuruc,0.8,458,2,1.15747399264993,ref1425_NA_2296.txt,NA,50
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,51
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,52
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,53
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,54
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,55
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,56
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,57
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,58
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,59
BAuruc,0.75,458,2,1.29117637986612,ref1425_NA_2296.txt,NA,60
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,61
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,62
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,63
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,64
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,65
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,66
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,67
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,68
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,69
BAuruc,0.7,458,2,1.42466788979743,ref1425_NA_2296.txt,NA,70
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,71
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,72
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,73
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,74
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,75
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,76
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,77
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,78
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,79
BAuruc,0.65,458,2,1.57021982487839,ref1425_NA_2296.txt,NA,80
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,81
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,82
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,83
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,84
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,85
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,86
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,87
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,88
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,89
BAuruc,0.6,458,2,1.72245015952172,ref1425_NA_2296.txt,NA,90
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,91
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,92
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,93
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,94
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,95
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,96
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,97
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,98
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,99
BAuruc,0.55,458,2,1.89258166423764,ref1425_NA_2296.txt,NA,100
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,101
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,102
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,103
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,104
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,105
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,106
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,107
BAuruc,0.5,458,2,2.07936082301441,ref1425_NA_2296.txt,NA,108
