"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"55","SCilho",0.899939351991448,1169,135,1169,0.99,"3oT","laplace","2",2.92477690287062,0.750493540990328,"ref842_SC_1266.txt"
"56","PRanto6",0.906465210449369,1665,128,1665,0.99,"3oT","laplace","2",2.45071540697936,0.630356099756747,"ref2714_PR_4208.txt"
"57","PRanto4",0.9079979592893,1896,119,1896,0.99,"3oT","laplace","2",2.29657606087313,0.590255006215033,"ref2714_PR_4206.txt"
"58","SCtimbe1",0.915684800663396,3148,142,3148,0.99,"3oT","laplace","2",1.7823075144988,0.455596281183709,"ref873_SC_1327.txt"
"59","SCvolta2",0.916842703142202,2059,78,2059,0.99,"3oT","laplace","2",2.2037982136063,0.566474494505203,"ref870_SC_1324.txt"
"60","PRanto11",0.921209867560648,1740,99,1740,0.99,"3oT","laplace","2",2.39731650742692,0.622540945954235,"ref2714_PR_4213.txt"
"61","PRanto10",0.923024383580357,1877,132,1877,0.99,"3oT","laplace","2",2.30817038065365,0.587266177015548,"ref2714_PR_4212.txt"
"62","PRanto9",0.928261175571598,1594,134,1594,0.99,"3oT","laplace","2",2.50470072492812,0.642496804724673,"ref2714_PR_4211.txt"
"63","RSrioz1",0.92867367679881,1205,76,1205,0.99,"3oT","laplace","2",2.88075600957839,0.740314339568457,"ref658_RS_1018.txt"
"64","PRanto15",0.942009596537872,1650,140,1650,0.99,"3oT","laplace","2",2.46182981958665,0.633466635259518,"ref2714_PR_4217.txt"
"65","PRanto8",0.955077166221669,1504,134,1504,0.99,"3oT","laplace","2",2.57855311564698,0.666709757408329,"ref2714_PR_4210.txt"
"66","PRanto13",0.968871050376109,1673,127,1673,0.99,"3oT","laplace","2",2.4448489343954,0.631078953232639,"ref2714_PR_4215.txt"
"67","SPpei1",0.969241860061788,3060,165,1545.45454545455,0.99,"3oT","laplace","2",2.54373509534584,0.652034445734096,"ref893_SP_1356.txt"
"68","PRanto12",0.974966068885724,1439,143,1439,0.99,"3oT","laplace","2",2.63614687121482,0.667856391875624,"ref2714_PR_4214.txt"
"69","SCvolta1",0.975721531216037,1658,52,1658,0.99,"3oT","laplace","2",2.45588336206301,0.631385932721425,"ref848_SC_1272.txt"
"70","SPpesmF",0.977848996135357,1360,98,1360,0.99,"3oT","laplace","2",2.7116307227332,0.694856048926052,"ref928_SP_1428.txt"
"71","SPpesmB",0.978518078724858,1076,132,1076,0.99,"3oT","laplace","2",3.04855380424846,0.77783292312402,"ref934_SP_1435.txt"
"72","SPpesmC",0.983950458881778,1061,107,1061,0.99,"3oT","laplace","2",3.07002779922758,0.789090536790544,"ref1115_SP_1693.txt"
"73","SPpesmD",0.988788711304557,1262,148,1262,0.99,"3oT","laplace","2",2.81494764949788,0.720390523783413,"ref926_SP_1426.txt"
"74","SPpecb1",0.992253133238622,11507,221,1123.73046875,0.99,"3oT","laplace","2",2.98310762216623,0.765047533577715,"ref936_SP_1439.txt"
"75","SPpesmE",0.994366533447583,1225,138,1225,0.99,"3oT","laplace","2",2.85714285714286,0.733780415776597,"ref888_SP_1349.txt"
"76","SPpesmG",0.998040177040466,1494,148,1494,0.99,"3oT","laplace","2",2.58716841902111,0.663284728871164,"ref922_SP_1420.txt"
"77","SPpesmJ",0.999736929472974,1742,187,1742,0.99,"3oT","laplace","2",2.3959399259138,0.618482271909625,"ref923_SP_1422.txt"
"78","SPpesmI",0.999741863075196,1963,186,1963,0.99,"3oT","laplace","2",2.25704308883094,0.578220133857733,"ref922_SP_1421.txt"
"79","ESsoor",1,1468,226,1468,0.99,"3oT","laplace","2",2.6099787548594,0.670250556376475,"ref8_ES_10.txt"
"80","SPpesmK",1,1796,162,1796,0.99,"3oT","laplace","2",2.35964589091504,0.602474650468035,"ref935_SP_1437.txt"
"81","MGuberl5",0.00742437918995731,957,68,957,0.95,"1oT","laplace","2",3.23254091917618,1.1773691801848,"ref284_MG_391.txt"
"82","MGuberl3",0.0180417237953712,975,85,975,0.95,"1oT","laplace","2",3.20256307610174,1.16776969300617,"ref89_MG_102.txt"
"83","SCarar",0.0359928114764424,2034,26,2034,0.95,"1oT","laplace","2",2.21730035079246,0.80902332619341,"ref873_SC_1328.txt"
"84","MGuberl7",0.0485476800383076,945,73,945,0.95,"1oT","laplace","2",3.25300024316178,1.18520533201367,"ref100_MG_118.txt"
"85","RScach4",0.072361253275373,1095,48,1095,0.95,"1oT","laplace","2",3.0219894260775,1.09533856395823,"ref638_RS_989.txt"
"86","RScach3",0.102843143491402,1228,71,1228,0.95,"1oT","laplace","2",2.85365072767675,1.03561023634172,"ref663_RS_1023.txt"
"87","SPcamp1",0.103320559326545,1076,108,1076,0.95,"1oT","laplace","2",3.04855380424846,1.1016391477371,"ref986_SP_1505.txt"
"88","RScach2",0.104325049309665,1904,48,1904,0.95,"1oT","laplace","2",2.29174624257053,0.838418012377116,"ref664_RS_1024.txt"
"89","PEalia",0.114091406447269,595,60,595,0.95,"1oT","laplace","2",4.09960030845394,1.48498473398134,"ref1496_PE_2393.txt"
"90","MSdour",0.116734787274334,1016,74,1016,0.95,"1oT","laplace","2",3.13727902569079,1.14080019555938,"ref2570_MS_3876.txt"
"91","RScach1",0.151225472114475,1547,30,1547,0.95,"1oT","laplace","2",2.54246418090461,0.925487151996822,"ref624_RS_974.txt"
"92","BAlenc4",0.159514416903022,893,61,866.990291262136,0.95,"1oT","laplace","2",3.396197069558,1.22732391509725,"ref1420_BA_2286.txt"
"93","PRrico3",0.169853953773957,1143,39,1143,0.95,"1oT","laplace","2",2.95785503138705,1.07372894821691,"ref2686_PR_4170.txt"
"94","PRtiba1",0.181441319632234,1482,117,1482,0.95,"1oT","laplace","2",2.59762166733066,0.942581490212048,"ref347_PR_571.txt"
"95","PRrico1",0.189679150380924,1018,64,1018,0.95,"1oT","laplace","2",3.13419570403611,1.14758075286939,"ref1159_PR_1776.txt"
"96","PEmata2",0.21628955738904,1076,75,1076,0.95,"1oT","laplace","2",3.04855380424846,1.10792987346807,"ref1617_PE_2549.txt"
"97","MGvico16",0.21847289239375,1653,91,1653,0.95,"1oT","laplace","2",2.45959483971641,0.891380794973384,"ref257_MG_348.txt"
"98","PRrico2",0.226305520677815,961,34,961,0.95,"1oT","laplace","2",3.2258064516129,1.16691848545491,"ref1359_PR_2196.txt"
"99","MGvico1",0.23259121186371,1825,93,1825,0.95,"1oT","laplace","2",2.34082294392261,0.853082546202448,"ref224_MG_307.txt"
"100","MGuberl1",0.234288719011765,1379,87,1253.63636363636,0.95,"1oT","laplace","2",2.82432200338865,1.02782767476973,"ref76_MG_87.txt"
"101","RSmaqu4",0.310748079531233,1531,85,1531,0.95,"1oT","laplace","2",2.55571489830357,0.931525958731565,"ref658_RS_1017.txt"
"102","MGvico8",0.313668812302999,2303,195,2303,0.95,"1oT","laplace","2",2.08378559282707,0.759701906044125,"ref2419_MG_3585.txt"
"103","RScamb1",0.327940858999573,1178,42,1178,0.95,"1oT","laplace","2",2.91358273374033,1.05630598181073,"ref1183_RS_1928.txt"
"104","PRdiam3",0.328788995096578,1124,74,1040.74074074074,0.95,"1oT","laplace","2",3.09976465643231,1.12487143491914,"ref1327_PR_2157.txt"
"105","PRvent",0.340772625042584,1241,101,1241,0.95,"1oT","laplace","2",2.8386647790183,1.03106404634744,"ref462_PR_743.txt"
"106","RSsmar2",0.36114979447901,1427,58,1427,0.95,"1oT","laplace","2",2.64720767589686,0.968808718571997,"ref678_RS_1041.txt"
"107","SPeec4",0.37843888158286,1212,84,1212,0.95,"1oT","laplace","2",2.87242494810713,1.04129516226787,"ref2561_SP_3863.txt"
"108","PRsapo",0.425074364521363,1480,122,1480,0.95,"2oT","laplace","2",2.59937622455018,0.952119978755971,"ref348_PR_572.txt"
"109","PRdiam2",0.448393813206425,1146,84,1091.42857142857,0.95,"2oT","laplace","2",3.02692974231671,1.10161790865599,"ref454_PR_732.txt"
"110","RSfaxi",0.470118159409467,1211,74,1211,0.95,"2oT","laplace","2",2.87361067569039,1.05235025570685,"ref639_RS_990.txt"
"111","RSsetape",0.493985431841831,1733,45,1733,0.95,"2oT","laplace","2",2.40215329446032,0.872704974128512,"ref740_RS_1123.txt"
