"SiteCode"	"kernel_percentil"	"p"	"S.obs"	"DA"	"N"	"pSAD"	"U"	"theta"	"m"
"PEsvfer"	"0.8"	0.636673590338369	91	1288	1288	100	0.007601071	NA	NA
"PEsvfer"	"0.85"	0.636673590338369	91	1288	1288	100	0.007381095	NA	NA
"PEsvfer"	"0.9"	0.636673590338369	91	1288	1288	100	0.008002487	NA	NA
"PEsvfer"	"0.95"	0.636673590338369	91	1288	1288	100	0.007708854	NA	NA
"PEsvfer"	"0.99"	0.636673590338369	91	1288	1288	100	0.007634016	NA	NA
"PEsvfer"	"campo_medio"	0.636673590338369	91	1288	1288	99	NA	31.044934838886	0.213671424149181
"PRanto10"	"0.25"	0.923024383580357	132	1877	1877	40	0.006134134	NA	NA
"PRanto10"	"0.5"	0.923024383580357	132	1877	1877	42	0.008012732	NA	NA
"PRanto10"	"0.55"	0.923024383580357	132	1877	1877	42	0.008316274	NA	NA
"PRanto10"	"0.6"	0.923024383580357	132	1877	1877	24	0.008873388	NA	NA
"PRanto10"	"0.65"	0.923024383580357	132	1877	1877	27	0.009167942	NA	NA
"PRanto10"	"0.7"	0.923024383580357	132	1877	1877	30	0.009296236	NA	NA
"PRanto10"	"0.75"	0.923024383580357	132	1877	1877	27	0.00881231	NA	NA
"PRanto10"	"0.8"	0.923024383580357	132	1877	1877	27	0.008996096	NA	NA
"PRanto10"	"0.85"	0.923024383580357	132	1877	1877	31	0.00861658	NA	NA
"PRanto10"	"0.9"	0.923024383580357	132	1877	1877	32	0.00900122	NA	NA
"PRanto10"	"0.95"	0.923024383580357	132	1877	1877	32	0.008967167	NA	NA
"PRanto10"	"0.99"	0.923024383580357	132	1877	1877	26	0.004817102	NA	NA
"PRanto10"	"campo_medio"	0.923024383580357	132	1877	1877	82	NA	32.3529353014109	0.9999
"PRanto11"	"0.25"	0.921209867560648	99	1740	1740	92	0.004196014	NA	NA
"PRanto11"	"0.5"	0.921209867560648	99	1740	1740	88	0.004740438	NA	NA
