sp,N,MeanDA,SiteCode,ha
Tabebuia cassinoides,11,4.583333333,ESpaco,2.4
Tachigali paratyensis,1,0.416666667,ESpaco,2.4
Tapirira guianensis,1,0.416666667,ESpaco,2.4
Terminalia mameluco,3,1.25,ESpaco,2.4
Toulicia patentinervis,1,0.416666667,ESpaco,2.4
Tovomita brevistaminea,6,2.5,ESpaco,2.4
Tovomita sp.1,1,0.416666667,ESpaco,2.4
Trichilia casaretti,1,0.416666667,ESpaco,2.4
Trichilia elegans,3,1.25,ESpaco,2.4
Trichilia hirta,1,0.416666667,ESpaco,2.4
Trichilia lepidota,18,7.5,ESpaco,2.4
Trichilia pallens,15,6.25,ESpaco,2.4
Trichilia silvatica,7,2.916666667,ESpaco,2.4
Trichilia tetrapetala,1,0.416666667,ESpaco,2.4
Trigoniodendron spiritusanctense,3,1.25,ESpaco,2.4
Vataireopsis araroba,1,0.416666667,ESpaco,2.4
Virola bicuhyba,19,7.916666667,ESpaco,2.4
Virola gardneri,93,38.75,ESpaco,2.4
Vitex orinocensis,1,0.416666667,ESpaco,2.4
Zanthoxylum rhoifolium,12,5,ESpaco,2.4
Zeyheria tuberculosa,2,0.833333333,ESpaco,2.4
Ziziphus glaziovii,15,6.25,ESpaco,2.4
Zollernia glabra,6,2.5,ESpaco,2.4
Zollernia modesta,2,0.833333333,ESpaco,2.4
Agonandra sp.,1,0.888888889,ESpedro1,1.125
Allagoptera caudescens,23,20.44444444,ESpedro1,1.125
Allophylus petiolulatus,1,0.888888889,ESpedro1,1.125
Alseis floribunda,4,3.555555556,ESpedro1,1.125
Amaioua guianensis,1,0.888888889,ESpedro1,1.125
Andira fraxinifolia,1,0.888888889,ESpedro1,1.125
Andira ormosioides,2,1.777777778,ESpedro1,1.125
Annona neolaurifolia,11,9.777777778,ESpedro1,1.125
Aspidosperma cylindrocarpon,6,5.333333333,ESpedro1,1.125
Aspidosperma spruceanum,5,4.444444444,ESpedro1,1.125
Astrocaryum aculeatissimum,40,35.55555556,ESpedro1,1.125
