sp,N,MeanDA,SiteCode,ha
Pouteria bangii,7,5.833333333,PEreci5,1.2
Pouteria grandiflora,3,2.5,PEreci5,1.2
Pouteria peduncularis,1,0.833333333,PEreci5,1.2
Pradosia lactescens,1,0.833333333,PEreci5,1.2
Protium giganteum,2,1.666666667,PEreci5,1.2
Protium heptaphyllum,32,26.66666667,PEreci5,1.2
Pterocarpus amazonum,1,0.833333333,PEreci5,1.2
Pterocarpus rohrii,1,0.833333333,PEreci5,1.2
Rinorea guianensis,2,1.666666667,PEreci5,1.2
Rourea doniana,3,2.5,PEreci5,1.2
Sacoglottis mattogrossensis,8,6.666666667,PEreci5,1.2
Schefflera morototoni,13,10.83333333,PEreci5,1.2
Simarouba amara,2,1.666666667,PEreci5,1.2
Sloanea guianensis,4,3.333333333,PEreci5,1.2
Sloanea obtusifolia,1,0.833333333,PEreci5,1.2
Sorocea hilarii,1,0.833333333,PEreci5,1.2
Stryphnodendron pulcherrimum,5,4.166666667,PEreci5,1.2
Tabebuia obtusifolia,1,0.833333333,PEreci5,1.2
Tabernaemontana coriacea,2,1.666666667,PEreci5,1.2
Tachigali densiflora,5,4.166666667,PEreci5,1.2
Talisia retusa,1,0.833333333,PEreci5,1.2
Tapirira guianensis,52,43.33333333,PEreci5,1.2
Thyrsodium spruceanum,45,37.5,PEreci5,1.2
Zollernia ilicifolia,2,1.666666667,PEreci5,1.2
Albizia pedicellaris,6,6,PEsiri1,1
Alseis pickelii,1,1,PEsiri1,1
Anaxagorea dolichocarpa,24,24,PEsiri1,1
Andira nitida,5,5,PEsiri1,1
Bowdichia virgilioides,15,15,PEsiri1,1
Brosimum gaudichaudii,2,2,PEsiri1,1
Brosimum guianense,34,34,PEsiri1,1
Brosimum rubescens,18,18,PEsiri1,1
Byrsonima sericea,1,1,PEsiri1,1
Byrsonima sp.,3,3,PEsiri1,1
Carpotroche brasiliensis,1,1,PEsiri1,1
Casearia javitensis,9,9,PEsiri1,1
Cecropia pachystachya,51,51,PEsiri1,1
Chrysobalanaceae sp.1,1,1,PEsiri1,1
Coussarea contracta,11,11,PEsiri1,1
Cupania racemosa,21,21,PEsiri1,1
Cymbopetalum brasiliense,1,1,PEsiri1,1
Dialium guianense,7,7,PEsiri1,1
Dipteryx odorata,1,1,PEsiri1,1
Erythroxylum citrifolium,5,5,PEsiri1,1
Eschweilera ovata,44,44,PEsiri1,1
Eugenia sp.1,4,4,PEsiri1,1
Eugenia sp.2,2,2,PEsiri1,1
Eugenia sp.3,1,1,PEsiri1,1
Eugenia sp.4,2,2,PEsiri1,1
Euphorbiaceae sp.1,1,1,PEsiri1,1
Faramea multiflora,1,1,PEsiri1,1
Ficus sp.,2,2,PEsiri1,1
Garcinia gardneriana,1,1,PEsiri1,1
Garcinia macrophylla,2,2,PEsiri1,1
Genipa americana,2,2,PEsiri1,1
Guapira nitida,1,1,PEsiri1,1
Guapira laxa,8,8,PEsiri1,1
Guapira opposita,1,1,PEsiri1,1
Guarea guidonia,6,6,PEsiri1,1
Guarea macrophylla,1,1,PEsiri1,1
Guatteria schomburgkiana,1,1,PEsiri1,1
Gustavia augusta,10,10,PEsiri1,1
Helicostylis tomentosa,30,30,PEsiri1,1
Henriettea succosa,2,2,PEsiri1,1
Himatanthus phagedaenicus,16,16,PEsiri1,1
Hyeronima alchorneoides,29,29,PEsiri1,1
Hymenaea courbaril,2,2,PEsiri1,1
Indet. sp.1,4,4,PEsiri1,1
Indet. sp.2,1,1,PEsiri1,1
Indet. sp.3,1,1,PEsiri1,1
Indet. sp.4,4,4,PEsiri1,1
Indet. sp.5,1,1,PEsiri1,1
Indet. sp.6,5,5,PEsiri1,1
Indet. sp.7,2,2,PEsiri1,1
Inga flagelliformis,18,18,PEsiri1,1
Inga laurina,2,2,PEsiri1,1
Inga sessilis,14,14,PEsiri1,1
Inga subnuda,50,50,PEsiri1,1
Lauraceae sp.1,1,1,PEsiri1,1
Lauraceae sp.2,1,1,PEsiri1,1
Lecythis pisonis,7,7,PEsiri1,1
Licania sp.,1,1,PEsiri1,1
Licania tomentosa,2,2,PEsiri1,1
Mabea piriri,7,7,PEsiri1,1
Malpighiaceae sp.1,1,1,PEsiri1,1
Matayba guianensis,1,1,PEsiri1,1
Maytenus distichophylla,3,3,PEsiri1,1
Meliaceae sp.1,3,3,PEsiri1,1
Miconia hypoleuca,1,1,PEsiri1,1
Miconia nervosa,12,12,PEsiri1,1
Miconia nordestina,7,7,PEsiri1,1
Miconia prasina,34,34,PEsiri1,1
Miconia tomentosa,19,19,PEsiri1,1
Micropholis gardneriana,3,3,PEsiri1,1
Myrcia tomentosa,1,1,PEsiri1,1
Myrcia guianensis,2,2,PEsiri1,1
Myrcia sp.2,1,1,PEsiri1,1
Myrcia splendens,38,38,PEsiri1,1
Myrtaceae sp.1,1,1,PEsiri1,1
Nectandra cuspidata,16,16,PEsiri1,1
Ocotea notata,27,27,PEsiri1,1
Ocotea glomerata,29,29,PEsiri1,1
Ocotea limae,4,4,PEsiri1,1
Ocotea sp.,1,1,PEsiri1,1
Pachira aquatica,7,7,PEsiri1,1
Parkia pendula,22,22,PEsiri1,1
Paypayrola blanchetiana,3,3,PEsiri1,1
Pera glabrata,5,5,PEsiri1,1
Plathymenia reticulata,1,1,PEsiri1,1
Pogonophora schomburgkiana,19,19,PEsiri1,1
Pourouma guianensis,23,23,PEsiri1,1
Pouteria bangii,79,79,PEsiri1,1
Pouteria grandiflora,4,4,PEsiri1,1
Pouteria sp.2,1,1,PEsiri1,1
Pouteria sp.3,2,2,PEsiri1,1
Pradosia lactescens,1,1,PEsiri1,1
Pradosia verrucosa,1,1,PEsiri1,1
Protium aracouchini,1,1,PEsiri1,1
Protium giganteum,28,28,PEsiri1,1
Protium heptaphyllum,93,93,PEsiri1,1
Psychotria carthagenensis,5,5,PEsiri1,1
Quiina florida,6,6,PEsiri1,1
Richeria grandis,4,4,PEsiri1,1
Sarcaulus brasiliensis,2,2,PEsiri1,1
Schefflera morototoni,18,18,PEsiri1,1
Simarouba amara,20,20,PEsiri1,1
Siparuna guianensis,35,35,PEsiri1,1
Sloanea guianensis,1,1,PEsiri1,1
Sloanea obtusifolia,5,5,PEsiri1,1
Sloanea pubescens,2,2,PEsiri1,1
Sorocea hilarii,2,2,PEsiri1,1
Swartzia pickelii,1,1,PEsiri1,1
Symphonia globulifera,23,23,PEsiri1,1
Tabernaemontana sp.,2,2,PEsiri1,1
Tachigali densiflora,24,24,PEsiri1,1
Tapirira guianensis,19,19,PEsiri1,1
Tetragastris catuaba,1,1,PEsiri1,1
Thyrsodium spruceanum,22,22,PEsiri1,1
Tovomita brevistaminea,59,59,PEsiri1,1
Virola gardneri,51,51,PEsiri1,1
Vismia guianensis,4,4,PEsiri1,1
Albizia polycephala,5,4.761904762,PEtama,1.05
Amaioua guianensis,5,4.761904762,PEtama,1.05
Amaioua sp.,1,0.952380952,PEtama,1.05
Anadenanthera colubrina,2,1.904761905,PEtama,1.05
Andira fraxinifolia,11,10.47619048,PEtama,1.05
Annona sp.,1,0.952380952,PEtama,1.05
Artocarpus heterophyllus,4,3.80952381,PEtama,1.05
Aspidosperma discolor,1,0.952380952,PEtama,1.05
Bowdichia virgilioides,21,20,PEtama,1.05
Brosimum guianense,17,16.19047619,PEtama,1.05
Brosimum rubescens,90,85.71428571,PEtama,1.05
Buchenavia tetraphylla,1,0.952380952,PEtama,1.05
Byrsonima sp.,8,7.619047619,PEtama,1.05
Calycophyllum spruceanum,1,0.952380952,PEtama,1.05
Campomanesia dichotoma,1,0.952380952,PEtama,1.05
Casearia javitensis,23,21.9047619,PEtama,1.05
Casearia sp.,1,0.952380952,PEtama,1.05
Cecropia sp.,5,4.761904762,PEtama,1.05
Chrysophyllum splendens,1,0.952380952,PEtama,1.05
Clusia nemorosa,2,1.904761905,PEtama,1.05
Cordia alliodora,6,5.714285714,PEtama,1.05
Cordia sp.,1,0.952380952,PEtama,1.05
Couepia rufa,1,0.952380952,PEtama,1.05
Cupania impressinervia,7,6.666666667,PEtama,1.05
Cupania racemosa,20,19.04761905,PEtama,1.05
Cupania sp.,17,16.19047619,PEtama,1.05
Dialium guianense,2,1.904761905,PEtama,1.05
Erythroxylum citrifolium,1,0.952380952,PEtama,1.05
Erythroxylum mucronatum,16,15.23809524,PEtama,1.05
Erythroxylum sp.,2,1.904761905,PEtama,1.05
Erythroxylum squamatum,1,0.952380952,PEtama,1.05
Eschweilera ovata,70,66.66666667,PEtama,1.05
Fabaceae sp.1,3,2.857142857,PEtama,1.05
Fabaceae sp.2,8,7.619047619,PEtama,1.05
Genipa americana,8,7.619047619,PEtama,1.05
Guapira nitida,2,1.904761905,PEtama,1.05
Guapira sp.,1,0.952380952,PEtama,1.05
Guatteria pogonopus,3,2.857142857,PEtama,1.05
Guatteria sp.,4,3.80952381,PEtama,1.05
Gustavia augusta,1,0.952380952,PEtama,1.05
Handroanthus heptaphyllus,1,0.952380952,PEtama,1.05
Heisteria sp.,3,2.857142857,PEtama,1.05
Helicostylis tomentosa,43,40.95238095,PEtama,1.05
Henriettea succosa,52,49.52380952,PEtama,1.05
Himatanthus phagedaenicus,18,17.14285714,PEtama,1.05
Inga laurina,3,2.857142857,PEtama,1.05
Inga thibaudiana,1,0.952380952,PEtama,1.05
Lacistema robustum,26,24.76190476,PEtama,1.05
Lauraceae sp.1,1,0.952380952,PEtama,1.05
Lecythis pisonis,3,2.857142857,PEtama,1.05
Libidibia ferrea,1,0.952380952,PEtama,1.05
Licania tomentosa,1,0.952380952,PEtama,1.05
Luehea ochrophylla,1,0.952380952,PEtama,1.05
Mabea piriri,3,2.857142857,PEtama,1.05
Maprounea guianensis,6,5.714285714,PEtama,1.05
Meliaceae sp.1,3,2.857142857,PEtama,1.05
Miconia hypoleuca,3,2.857142857,PEtama,1.05
Miconia minutiflora,40,38.0952381,PEtama,1.05
Miconia prasina,111,105.7142857,PEtama,1.05
Miconia sp.,10,9.523809524,PEtama,1.05
Miconia tomentosa,6,5.714285714,PEtama,1.05
Mimosa caesalpiniifolia,2,1.904761905,PEtama,1.05
Myrcia sp.,1,0.952380952,PEtama,1.05
Myrcia splendens,1,0.952380952,PEtama,1.05
Myrtaceae sp.1,2,1.904761905,PEtama,1.05
Nectandra sp.,5,4.761904762,PEtama,1.05
Ocotea brachybotrya,3,2.857142857,PEtama,1.05
Ocotea glomerata,2,1.904761905,PEtama,1.05
Ocotea sp.,1,0.952380952,PEtama,1.05
Ouratea hexasperma,1,0.952380952,PEtama,1.05
Pachira aquatica,23,21.9047619,PEtama,1.05
Paypayrola blanchetiana,16,15.23809524,PEtama,1.05
Phyllanthus juglandifolius,1,0.952380952,PEtama,1.05
Pogonophora schomburgkiana,64,60.95238095,PEtama,1.05
Pouteria grandiflora,2,1.904761905,PEtama,1.05
Pouteria sp.,8,7.619047619,PEtama,1.05
Protium aracouchini,18,17.14285714,PEtama,1.05
Protium giganteum,111,105.7142857,PEtama,1.05
Protium heptaphyllum,46,43.80952381,PEtama,1.05
Psidium sp.,4,3.80952381,PEtama,1.05
Psychotria sp.,1,0.952380952,PEtama,1.05
Pterocarpus rohrii,1,0.952380952,PEtama,1.05
Rubiaceae sp.1,1,0.952380952,PEtama,1.05
Sapindaceae sp.1,2,1.904761905,PEtama,1.05
Schefflera morototoni,53,50.47619048,PEtama,1.05
Simarouba amara,93,88.57142857,PEtama,1.05
Simarouba versicolor,5,4.761904762,PEtama,1.05
Siparuna guianensis,18,17.14285714,PEtama,1.05
Siparuna sp.,1,0.952380952,PEtama,1.05
Sloanea guianensis,1,0.952380952,PEtama,1.05
Sloanea obtusifolia,1,0.952380952,PEtama,1.05
Sorocea hilarii,15,14.28571429,PEtama,1.05
Stryphnodendron pulcherrimum,5,4.761904762,PEtama,1.05
Symphonia globulifera,3,2.857142857,PEtama,1.05
Syzygium cumini,15,14.28571429,PEtama,1.05
Syzygium malaccense,1,0.952380952,PEtama,1.05
Tachigali densiflora,1,0.952380952,PEtama,1.05
Talisia esculenta,2,1.904761905,PEtama,1.05
Tapirira guianensis,115,109.5238095,PEtama,1.05
Thyrsodium spruceanum,49,46.66666667,PEtama,1.05
Tocoyena formosa,5,4.761904762,PEtama,1.05
Tovomita brevistaminea,22,20.95238095,PEtama,1.05
Trichilia lepidota,3,2.857142857,PEtama,1.05
Vataireopsis araroba,1,0.952380952,PEtama,1.05
Virola gardneri,16,15.23809524,PEtama,1.05
Vismia guianensis,9,8.571428571,PEtama,1.05
Xylopia frutescens,22,20.95238095,PEtama,1.05
Xylopia laevigata,1,0.952380952,PEtama,1.05
Albizia pedicellaris,4,15.15151515,PEtimb,0.264
Apeiba tibourbou,1,3.787878788,PEtimb,0.264
Artocarpus heterophyllus,1,3.787878788,PEtimb,0.264
Aspidosperma discolor,4,15.15151515,PEtimb,0.264
Brosimum gaudichaudii,8,30.3030303,PEtimb,0.264
Brosimum guianense,9,34.09090909,PEtimb,0.264
Byrsonima sericea,4,15.15151515,PEtimb,0.264
Byrsonima sp.,6,22.72727273,PEtimb,0.264
Cambessedesia regnelliana,5,18.93939394,PEtimb,0.264
Caraipa densifolia,18,68.18181818,PEtimb,0.264
Casearia arborea,5,18.93939394,PEtimb,0.264
Casearia sylvestris,1,3.787878788,PEtimb,0.264
Cecropia pachystachya,2,7.575757576,PEtimb,0.264
Clarisia racemosa,7,26.51515152,PEtimb,0.264
Copaifera langsdorffii,1,3.787878788,PEtimb,0.264
Cupania racemosa,2,7.575757576,PEtimb,0.264
Dialium guianense,5,18.93939394,PEtimb,0.264
Eriotheca gracilipes,10,37.87878788,PEtimb,0.264
Eriotheca sp.,5,18.93939394,PEtimb,0.264
Erythroxylum sp.,16,60.60606061,PEtimb,0.264
Erythroxylum squamatum,3,11.36363636,PEtimb,0.264
Eschweilera ovata,2,7.575757576,PEtimb,0.264
Fabaceae-Mimosoideae sp.2,2,7.575757576,PEtimb,0.264
Ficus sp.,1,3.787878788,PEtimb,0.264
Guapira opposita,7,26.51515152,PEtimb,0.264
Gustavia augusta,1,3.787878788,PEtimb,0.264
Helicostylis tomentosa,15,56.81818182,PEtimb,0.264
Himatanthus phagedaenicus,1,3.787878788,PEtimb,0.264
Hortia brasiliana,1,3.787878788,PEtimb,0.264
Indet. sp.1,1,3.787878788,PEtimb,0.264
Inga sp.,1,3.787878788,PEtimb,0.264
Lauraceae sp.1,3,11.36363636,PEtimb,0.264
Lonchocarpus sericeus,1,3.787878788,PEtimb,0.264
Mabea piriri,9,34.09090909,PEtimb,0.264
Malpighiaceae sp.1,17,64.39393939,PEtimb,0.264
Miconia albicans,24,90.90909091,PEtimb,0.264
Miconia ligustroides,5,18.93939394,PEtimb,0.264
Miconia sp.,9,34.09090909,PEtimb,0.264
Myrcia splendens,19,71.96969697,PEtimb,0.264
Myrtaceae sp.1,6,22.72727273,PEtimb,0.264
Myrtaceae sp.2,1,3.787878788,PEtimb,0.264
Nectandra sp.,1,3.787878788,PEtimb,0.264
Ocotea sp.,11,41.66666667,PEtimb,0.264
Ocotea sp.1,1,3.787878788,PEtimb,0.264
Parkia pendula,5,18.93939394,PEtimb,0.264
Pouteria sp.,1,3.787878788,PEtimb,0.264
Protium aracouchini,10,37.87878788,PEtimb,0.264
Protium giganteum,2,7.575757576,PEtimb,0.264
Protium heptaphyllum,1,3.787878788,PEtimb,0.264
Prunus myrtifolia,1,3.787878788,PEtimb,0.264
Psychotria sp.,1,3.787878788,PEtimb,0.264
Sapium glandulosum,1,3.787878788,PEtimb,0.264
Sapium sp.,1,3.787878788,PEtimb,0.264
Schefflera morototoni,2,7.575757576,PEtimb,0.264
Simarouba amara,5,18.93939394,PEtimb,0.264
Sloanea obtusifolia,2,7.575757576,PEtimb,0.264
Sorocea hilarii,3,11.36363636,PEtimb,0.264
Symphonia globulifera,15,56.81818182,PEtimb,0.264
Tapirira guianensis,3,11.36363636,PEtimb,0.264
Thyrsodium spruceanum,12,45.45454545,PEtimb,0.264
Virola gardneri,7,26.51515152,PEtimb,0.264
Zanthoxylum rhoifolium,2,7.575757576,PEtimb,0.264
Albizia polycephala,1,3.787878788,PEtimba,0.264
Allophylus edulis,1,3.787878788,PEtimba,0.264
Amburana cearensis,3,11.36363636,PEtimba,0.264
Anadenanthera colubrina,2,7.575757576,PEtimba,0.264
Annona glabra,1,3.787878788,PEtimba,0.264
Apocynaceae sp.1,16,60.60606061,PEtimba,0.264
Campomanesia sp.,42,159.0909091,PEtimba,0.264
Campomanesia xanthocarpa,71,268.9393939,PEtimba,0.264
Cariniana legalis,1,3.787878788,PEtimba,0.264
Casearia sp.,10,37.87878788,PEtimba,0.264
Cordia sellowiana,1,3.787878788,PEtimba,0.264
Cordia trichotoma,2,7.575757576,PEtimba,0.264
Cynophalla flexuosa,9,34.09090909,PEtimba,0.264
Erythrina velutina,1,3.787878788,PEtimba,0.264
Euphorbiaceae sp.1,28,106.0606061,PEtimba,0.264
Geoffroea spinosa,2,7.575757576,PEtimba,0.264
Guapira opposita,4,15.15151515,PEtimba,0.264
Gustavia augusta,4,15.15151515,PEtimba,0.264
Handroanthus impetiginosus,5,18.93939394,PEtimba,0.264
Handroanthus serratifolius,6,22.72727273,PEtimba,0.264
Hymenaea courbaril,1,3.787878788,PEtimba,0.264
Indet. sp.1,2,7.575757576,PEtimba,0.264
Indet. sp.2,1,3.787878788,PEtimba,0.264
Indet. sp.3,1,3.787878788,PEtimba,0.264
Indet. sp.4,2,7.575757576,PEtimba,0.264
Libidibia ferrea,1,3.787878788,PEtimba,0.264
Lonchocarpus sericeus,10,37.87878788,PEtimba,0.264
Maytenus rigida,1,3.787878788,PEtimba,0.264
Meliaceae sp.1,3,11.36363636,PEtimba,0.264
Myracrodruon urundeuva,2,7.575757576,PEtimba,0.264
Myrtaceae sp.1,15,56.81818182,PEtimba,0.264
Oreopanax fulvus,1,3.787878788,PEtimba,0.264
Piptadenia stipulacea,1,3.787878788,PEtimba,0.264
Randia armata,4,15.15151515,PEtimba,0.264
Sapindus saponaria,2,7.575757576,PEtimba,0.264
Senegalia polyphylla,2,7.575757576,PEtimba,0.264
Senna spectabilis,2,7.575757576,PEtimba,0.264
Spondias mombin,6,22.72727273,PEtimba,0.264
Talisia esculenta,4,15.15151515,PEtimba,0.264
Ziziphus joazeiro,7,26.51515152,PEtimba,0.264
Allophylus edulis,39,195,PRarau2,0.2
Blepharocalyx salicifolius,9,45,PRarau2,0.2
Calyptranthes concinna,1,5,PRarau2,0.2
Campomanesia xanthocarpa,3,15,PRarau2,0.2
Casearia decandra,2,10,PRarau2,0.2
Dalbergia frutescens,2,10,PRarau2,0.2
Eugenia uniflora,2,10,PRarau2,0.2
Eugenia uruguayensis,1,5,PRarau2,0.2
Guettarda uruguensis,11,55,PRarau2,0.2
Gymnanthes klotzschiana,326,1630,PRarau2,0.2
Hovenia dulcis,3,15,PRarau2,0.2
Inga marginata,1,5,PRarau2,0.2
Ligustrum vulgare,2,10,PRarau2,0.2
Lithrea brasiliensis,6,30,PRarau2,0.2
Luehea divaricata,2,10,PRarau2,0.2
Machaerium paraguariense,10,50,PRarau2,0.2
Myrceugenia glaucescens,23,115,PRarau2,0.2
Myrcianthes gigantea,1,5,PRarau2,0.2
Myrciaria tenella,2,10,PRarau2,0.2
Myrrhinium atropurpureum,26,130,PRarau2,0.2
Picramnia parvifolia,3,15,PRarau2,0.2
Prunus myrtifolia,1,5,PRarau2,0.2
Schinus terebinthifolius,18,90,PRarau2,0.2
Scutia buxifolia,5,25,PRarau2,0.2
Sebastiania brasiliensis,3,15,PRarau2,0.2
Syagrus romanzoffiana,2,10,PRarau2,0.2
Trichilia elegans,1,5,PRarau2,0.2
Vitex megapotamica,1,5,PRarau2,0.2
Xylosma pseudosalzmannii,1,5,PRarau2,0.2
Allophylus edulis,39,195,PRarau4,0.2
Blepharocalyx salicifolius,9,45,PRarau4,0.2
Calyptranthes concinna,1,5,PRarau4,0.2
Campomanesia xanthocarpa,1,5,PRarau4,0.2
Casearia decandra,2,10,PRarau4,0.2
Dalbergia frutescens,2,10,PRarau4,0.2
Eugenia uniflora,2,10,PRarau4,0.2
Eugenia uruguayensis,1,5,PRarau4,0.2
Guettarda uruguensis,11,55,PRarau4,0.2
Gymnanthes klotzschiana,326,1630,PRarau4,0.2
Hovenia dulcis,3,15,PRarau4,0.2
Inga marginata,2,10,PRarau4,0.2
Ligustrum vulgare,2,10,PRarau4,0.2
Lithrea brasiliensis,6,30,PRarau4,0.2
Luehea divaricata,2,10,PRarau4,0.2
Machaerium paraguariense,10,50,PRarau4,0.2
Myrceugenia glaucescens,23,115,PRarau4,0.2
Myrcianthes gigantea,1,5,PRarau4,0.2
Myrrhinium atropurpureum,26,130,PRarau4,0.2
Picramnia parvifolia,3,15,PRarau4,0.2
Prunus myrtifolia,1,5,PRarau4,0.2
Schinus terebinthifolius,18,90,PRarau4,0.2
Scutia buxifolia,5,25,PRarau4,0.2
Sebastiania brasiliensis,3,15,PRarau4,0.2
Trichilia elegans,1,5,PRarau4,0.2
Vitex megapotamica,1,5,PRarau4,0.2
Xylosma pseudosalzmannii,2,10,PRarau4,0.2
Alchornea glandulosa,4,5.333333333,PRastor,0.75
Alchornea triplinervia,25,33.33333333,PRastor,0.75
Aloysia virgata,3,4,PRastor,0.75
Alseis floribunda,1,1.333333333,PRastor,0.75
Anadenanthera colubrina,5,6.666666667,PRastor,0.75
Aspidosperma ramiflorum,4,5.333333333,PRastor,0.75
Balfourodendron riedelianum,7,9.333333333,PRastor,0.75
Bougainvillea sp.,1,1.333333333,PRastor,0.75
Cabralea canjerana,2,2.666666667,PRastor,0.75
Campomanesia guazumifolia,4,5.333333333,PRastor,0.75
Campomanesia xanthocarpa,9,12,PRastor,0.75
Cariniana estrellensis,1,1.333333333,PRastor,0.75
Casearia sylvestris,13,17.33333333,PRastor,0.75
Cedrela fissilis,1,1.333333333,PRastor,0.75
Chrysophyllum gonocarpum,1,1.333333333,PRastor,0.75
Copaifera langsdorffii,3,4,PRastor,0.75
Cordia americana,9,12,PRastor,0.75
Croton floribundus,12,16,PRastor,0.75
Cupania vernalis,27,36,PRastor,0.75
Enterolobium contortisiliquum,2,2.666666667,PRastor,0.75
Eugenia uniflora,4,5.333333333,PRastor,0.75
Fabaceae-Papilionoideae sp.,3,4,PRastor,0.75
Ficus guaranitica,1,1.333333333,PRastor,0.75
Guarea guidonia,2,2.666666667,PRastor,0.75
Guatteria australis,2,2.666666667,PRastor,0.75
Ilex theezans,1,1.333333333,PRastor,0.75
Lonchocarpus cultratus,35,46.66666667,PRastor,0.75
Lonchocarpus sp.,302,402.6666667,PRastor,0.75
Luehea divaricata,161,214.6666667,PRastor,0.75
Machaerium nyctitans,17,22.66666667,PRastor,0.75
Machaerium stipitatum,59,78.66666667,PRastor,0.75
Maclura tinctoria,1,1.333333333,PRastor,0.75
Maytenus ilicifolia,1,1.333333333,PRastor,0.75
Melia azedarach,3,4,PRastor,0.75
Myrocarpus frondosus,3,4,PRastor,0.75
Ocotea corymbosa,3,4,PRastor,0.75
Ocotea puberula,5,6.666666667,PRastor,0.75
Ocotea sp.,4,5.333333333,PRastor,0.75
Ormosia arborea,1,1.333333333,PRastor,0.75
Parapiptadenia rigida,79,105.3333333,PRastor,0.75
Peltophorum dubium,7,9.333333333,PRastor,0.75
Prunus myrtifolia,25,33.33333333,PRastor,0.75
Roupala montana,11,14.66666667,PRastor,0.75
Sapium glandulosum,47,62.66666667,PRastor,0.75
Senegalia polyphylla,4,5.333333333,PRastor,0.75
Trema micrantha,2,2.666666667,PRastor,0.75
Zanthoxylum fagara,5,6.666666667,PRastor,0.75
Acacia sp.,11,22,PRboa,0.5
Aegiphila integrifolia,1,2,PRboa,0.5
Albizia polycephala,26,52,PRboa,0.5
Allophylus edulis,166,332,PRboa,0.5
Amphilophium crucigerum,5,10,PRboa,0.5
Annona rugulosa,12,24,PRboa,0.5
Annona sylvatica,4,8,PRboa,0.5
Banara tomentosa,1,2,PRboa,0.5
Bauhinia forficata,3,6,PRboa,0.5
Campomanesia xanthocarpa,1,2,PRboa,0.5
Casearia decandra,2,4,PRboa,0.5
Cedrela fissilis,12,24,PRboa,0.5
Cestrum sp.,10,20,PRboa,0.5
Citronella paniculata,1,2,PRboa,0.5
Clethra scabra,2,4,PRboa,0.5
Cordyline spectabilis,50,100,PRboa,0.5
Coutarea hexandra,1,2,PRboa,0.5
Cupania vernalis,110,220,PRboa,0.5
Cyathea sp.,4,8,PRboa,0.5
Dalbergia frutescens,90,180,PRboa,0.5
Dicksonia sellowiana,77,154,PRboa,0.5
Eugenia pyriformis,2,4,PRboa,0.5
Gymnanthes klotzschiana,1,2,PRboa,0.5
Ilex brevicuspis,29,58,PRboa,0.5
Ilex theezans,1,2,PRboa,0.5
Inga sp.,19,38,PRboa,0.5
Lonchocarpus cultratus,43,86,PRboa,0.5
Lonchocarpus muehlbergianus,6,12,PRboa,0.5
Luehea divaricata,7,14,PRboa,0.5
Machaerium paraguariense,38,76,PRboa,0.5
Machaerium stipitatum,2,4,PRboa,0.5
Manihot grahamii,10,20,PRboa,0.5
Matayba elaeagnoides,234,468,PRboa,0.5
Myrcia hatschbachii,2,4,PRboa,0.5
Myrsine coriacea,1,2,PRboa,0.5
Myrsine umbellata,1,2,PRboa,0.5
Nectandra lanceolata,13,26,PRboa,0.5
Nectandra megapotamica,89,178,PRboa,0.5
Ocotea puberula,70,140,PRboa,0.5
Parapiptadenia rigida,136,272,PRboa,0.5
Phytolacca dioica,4,8,PRboa,0.5
Prunus brasiliensis,4,8,PRboa,0.5
Sapium glandulosum,2,4,PRboa,0.5
Solanum sp.,1,2,PRboa,0.5
Strychnos brasiliensis,3,6,PRboa,0.5
Syagrus romanzoffiana,1,2,PRboa,0.5
Trema micrantha,1,2,PRboa,0.5
Vitex megapotamica,11,22,PRboa,0.5
Zanthoxylum rhoifolium,23,46,PRboa,0.5
Aegiphila integrifolia,1,2,PRboa1,0.5
Albizia polycephala,26,52,PRboa1,0.5
Allophylus edulis,166,332,PRboa1,0.5
Anadenanthera colubrina,136,272,PRboa1,0.5
Annona rugulosa,12,24,PRboa1,0.5
Annona sylvatica,4,8,PRboa1,0.5
Banara tomentosa,1,2,PRboa1,0.5
Bauhinia forficata,3,6,PRboa1,0.5
Campomanesia xanthocarpa,1,2,PRboa1,0.5
Casearia decandra,2,4,PRboa1,0.5
Cedrela fissilis,12,24,PRboa1,0.5
Cestrum sp.,10,20,PRboa1,0.5
Citronella paniculata,1,2,PRboa1,0.5
Clethra scabra,2,4,PRboa1,0.5
Cordyline spectabilis,50,100,PRboa1,0.5
Coutarea hexandra,1,2,PRboa1,0.5
Cupania vernalis,110,220,PRboa1,0.5
Cyathea sp.,4,8,PRboa1,0.5
Dicksonia sellowiana,76,152,PRboa1,0.5
Eugenia pyriformis,2,4,PRboa1,0.5
Gymnanthes klotzschiana,1,2,PRboa1,0.5
Ilex brevicuspis,29,58,PRboa1,0.5
Ilex theezans,1,2,PRboa1,0.5
Inga sp.,19,38,PRboa1,0.5
Lonchocarpus cultratus,43,86,PRboa1,0.5
Lonchocarpus muehlbergianus,6,12,PRboa1,0.5
Luehea divaricata,7,14,PRboa1,0.5
Machaerium paraguariense,38,76,PRboa1,0.5
Machaerium stipitatum,2,4,PRboa1,0.5
Manihot grahamii,10,20,PRboa1,0.5
Matayba elaeagnoides,235,470,PRboa1,0.5
Myrcia hatschbachii,2,4,PRboa1,0.5
Myrsine coriacea,1,2,PRboa1,0.5
Myrsine umbellata,1,2,PRboa1,0.5
Nectandra lanceolata,13,26,PRboa1,0.5
Nectandra megapotamica,89,178,PRboa1,0.5
Ocotea puberula,70,140,PRboa1,0.5
Phytolacca dioica,4,8,PRboa1,0.5
