"SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file","U"
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000534065
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000500494
"RScach1",0.151225472114475,1547,30,1547,0.99,"1oT","laplace",2,2.54246418090461,0.657730542563495,"ref624_RS_974.txt",0.000595851
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00392257
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00366444
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00350123
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00356523
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00386363
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00365218
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00370849
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00363594
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00396571
"BAlenc4",0.159514416903022,893,61,866.990291262136,0.99,"1oT","laplace",2,3.396197069558,0.866766704334387,"ref1420_BA_2286.txt",0.00382615
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00130491
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00149206
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.0013444
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.0013433
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00131988
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00153904
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00142274
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00144997
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00151385
"PRrico3",0.169853953773957,1143,39,1143,0.99,"1oT","laplace",2,2.95785503138705,0.767803527268763,"ref2686_PR_4170.txt",0.00130491
"PRtiba1",0.181441319632234,1482,117,1482,0.99,"1oT","laplace",2,2.59762166733066,0.664731584517163,"ref347_PR_571.txt",0.00465516
