SiteCode,p,k,Ntotal,S_obs,DA,d,U_med,J_M,L,m,m_,ratio_J_JM
RSsini,0.751887932508693,0.35,1024,69,1024,4.45795361563611,0.003794004,1319634.780981862,100,0.06205131711466846,0.047385163374325856,7.759722725996221e-4
MGuberl1,0.620615293430654,0.35,1393,89,1266.36363636364,4.00057833813588,0.008197571,1347043.395583155,104.880884817015,0.05321630425963998,0.03370738593292918,0.0010341166472940166
SCside,0.727896695345763,0.35,1715,107,1715,3.43227810922589,0.006055559,2139609.681222523,100,0.047950715868081806,0.03536458879846761,8.015480650751632e-4
MGlavr6,0.105464946828223,0.35,1666,165,1487.5,3.71285809932987,0.02477345,268884.51664523035,105.83005244258364,0.04899973747349669,0.005404651289414459,0.006195968517585345
SCorle,0.534556814170092,0.35,2143,118,2143,3.078699959528,0.008082294,1963435.881031683,100,0.04306547270038008,0.02349182448723062,0.001091454027454141
SCilho,0.872568596003357,0.35,1260,136,1260,3.99308319606351,0.013416879999999999,1884390.0652154514,100,0.055673488445036945,0.04892604596553997,6.686513706788929e-4
SCilho2,0.87152078954513,0.35,1832,182,1832,3.33392903800924,0.01352193,2736553.2471261485,100,0.04659312247389748,0.040851421609905736,6.694552725856567e-4
SCvolta1,0.939375134560099,0.35,1660,53,1660,3.4962779076307,0.0021045960000000002,2672685.3333468414,100,0.048833638387598306,0.046009317723620054,6.210981814014308e-4
SCcric1,0.257688402725365,0.35,1412,137,1412,3.80805033740425,0.02581748,623634.6720060551,100,0.05312890196495507,0.014252806937594759,0.002264146083247742
SCvolta2,0.810348171360328,0.35,2059,78,2059,3.13275715199435,0.002422196,2859754.0603247955,100,0.043813168151048625,0.03580140341301959,7.199919841240298e-4
SCtimbe1,0.794756496345566,0.35,3161,149,3161,2.53195682020511,0.005077374,4305853.649390047,100,0.035486736477802074,0.028410238106723655,7.341169155732398e-4
SCarar,0.0576726724615995,0.35,2034,26,2034,3.16221199933023,0.001333949,201058.1616101038,100,0.044220451729082115,0.002661204388374716,0.010116475669087115
SPpesmE,0.899700419807692,0.35,1240,142,1240,4.06240202161233,0.01470136,1912142.6591016536,100,0.05662588483850032,0.05123733750835761,6.484871796033075e-4
SPpei1,0.975925350225875,0.35,3078,172,1554.54545454545,3.60627690458869,0.006768653,2600283.5388155114,140.7124727947031,0.03591603163648551,0.03508169970240841,0.0011837170654866735
MGuberl3,0.863336341978253,0.35,976,86,976,4.57390004448843,0.01318608,1444210.5817363174,100,0.06363868667769351,0.05542361545297924,6.758017233377378e-4
ESsoor,0.994759334898679,0.35,1519,265,1519,3.66225170523216,0.03362887,2589861.140947626,100,0.05112145592600936,0.05086717334229223,5.865179317854085e-4
SPpesmG,0.972615491332908,0.35,1496,151,1496,3.68843747541879,0.01241854,2493867.975097327,100,0.05148215446652063,0.05014303328685057,5.99871370472856e-4
SPpesmI,0.987242723924714,0.35,1995,204,1995,3.18776197027542,0.01404721,3375728.605500516,100,0.04457367080085007,0.04403006937482284,5.90983527748435e-4
SPpesmJ,0.987726950190507,0.35,1816,206,1816,3.33770255968175,0.016045919999999998,3074350.8621241148,100,0.04664522935184795,0.04609914092902722,5.906938021853818e-4
SPpesmD,0.888774351326571,0.35,1281,155,1281,3.98988409036987,0.01677029,1951377.6433028027,100,0.055629523176247746,0.04974991749768215,6.564592990989916e-4
SPpesmF,0.934982214886836,0.35,1379,104,1379,3.83838794636003,0.00747436,2209877.9993808414,100,0.053546341812579556,0.050239785298306146,6.240163485886393e-4
SPpesmH,0.938227771318037,0.35,1528,152,1528,3.63854120825793,0.0120141,2457153.6827783855,100,0.05079479413350798,0.047807091169604195,6.218577253467677e-4
