"SiteCode"	"kernel_percentil"	"p"	"S"	"DA"	"J"	"sd_k"	"U"	"GOF"	"theta"	"m"
"MGuberl1"	"0.5"	0.234288719011765	87	1253.63636363636	1379	2.95985278384627	0.01306742	94	NA	NA
"MGuberl1"	"0.55"	0.234288719011765	87	1253.63636363636	1379	2.69775401799821	0.01334392	94	NA	NA
"MGuberl1"	"0.6"	0.234288719011765	87	1253.63636363636	1379	2.4521908217321	0.01273444	93	NA	NA
"MGuberl1"	"0.65"	0.234288719011765	87	1253.63636363636	1379	2.22983313346812	0.01239248	96	NA	NA
"MGuberl1"	"0.7"	0.234288719011765	87	1253.63636363636	1379	2.02396105405356	0.008678674	99	NA	NA
"MGuberl1"	"0.75"	0.234288719011765	87	1253.63636363636	1379	1.82525269306769	0.009257418	100	NA	NA
"MGuberl1"	"0.8"	0.234288719011765	87	1253.63636363636	1379	1.65583723799593	0.00920161	100	NA	NA
"MGuberl1"	"0.85"	0.234288719011765	87	1253.63636363636	1379	1.45870833577201	0.009099906	100	NA	NA
"MGuberl1"	"0.9"	0.234288719011765	87	1253.63636363636	1379	1.26747048889192	0.009086849	100	NA	NA
"MGuberl1"	"0.95"	0.234288719011765	87	1253.63636363636	1379	1.02040304039515	0.008872836	100	NA	NA
"MGuberl1"	"0.99"	0.234288719011765	87	1253.63636363636	1379	0.727063782778486	0.008640807	100	NA	NA
"MGuberl1"	"campo_medio"	0.234288719011765	87	1253.63636363636	1379	NA	NA	100	21.2592678135245	0.79463652636971
"MGuberl3"	"0.25"	0.0180417237953712	85	975	975	5.87875916245522	0.01624546	85	NA	NA
"MGuberl3"	"0.5"	0.0180417237953712	85	975	975	3.34931778154722	0.01356322	100	NA	NA
"MGuberl3"	"0.55"	0.0180417237953712	85	975	975	3.05858875381495	0.01348462	100	NA	NA
"MGuberl3"	"0.6"	0.0180417237953712	85	975	975	2.76881752368366	0.0135255	100	NA	NA
"MGuberl3"	"0.65"	0.0180417237953712	85	975	975	2.52191246380561	0.0133261	99	NA	NA
"MGuberl3"	"0.7"	0.0180417237953712	85	975	975	2.29516138387002	0.013141	100	NA	NA
"MGuberl3"	"0.75"	0.0180417237953712	85	975	975	2.07514252443466	0.01109062	100	NA	NA
"MGuberl3"	"0.8"	0.0180417237953712	85	975	975	1.85951040849012	0.0113427	100	NA	NA
"MGuberl3"	"0.85"	0.0180417237953712	85	975	975	1.65725474412986	0.01096139	100	NA	NA
"MGuberl3"	"0.9"	0.0180417237953712	85	975	975	1.42550204806965	0.01125482	100	NA	NA
"MGuberl3"	"0.95"	0.0180417237953712	85	975	975	1.16338983030628	0.01135866	100	NA	NA
"MGuberl3"	"0.99"	0.0180417237953712	85	975	975	0.823302290538361	0.01139896	100	NA	NA
"MGuberl3"	"campo_medio"	0.0180417237953712	85	975	975	NA	NA	100	22.7590720614964	0.870621680717201
"MGuberl5"	"0.25"	0.00742437918995731	68	957	957	5.95315928663749	0.01704838	24	NA	NA
"MGuberl5"	"0.5"	0.00742437918995731	68	957	957	3.35333919955092	0.01445168	77	NA	NA
"MGuberl5"	"0.55"	0.00742437918995731	68	957	957	3.07430666829627	0.01421741	79	NA	NA
"MGuberl5"	"0.6"	0.00742437918995731	68	957	957	2.79945494675426	0.01415868	81	NA	NA
"MGuberl5"	"0.65"	0.00742437918995731	68	957	957	2.54261591959204	0.01525761	73	NA	NA
"MGuberl5"	"0.7"	0.00742437918995731	68	957	957	2.30438977232774	0.0137903	79	NA	NA
"MGuberl5"	"0.75"	0.00742437918995731	68	957	957	2.09184637791	0.01147063	99	NA	NA
"MGuberl5"	"0.8"	0.00742437918995731	68	957	957	1.88336235843013	0.01142943	99	NA	NA
"MGuberl5"	"0.85"	0.00742437918995731	68	957	957	1.66355452804946	0.010674457	97	NA	NA
"MGuberl5"	"0.9"	0.00742437918995731	68	957	957	1.43595064312487	0.01126317	99	NA	NA
"MGuberl5"	"0.95"	0.00742437918995731	68	957	957	1.18217389994767	0.01145925	98	NA	NA
"MGuberl5"	"0.99"	0.00742437918995731	68	957	957	0.833150999721289	0.01105966	100	NA	NA
"MGuberl5"	"campo_medio"	0.00742437918995731	68	957	957	NA	NA	100	23.7229843987744	0.200062953190462
"MGuberl7"	"0.25"	0.0485476800383076	73	945	945	5.95151799736327	0.01945092	82	NA	NA
"MGuberl7"	"0.5"	0.0485476800383076	73	945	945	3.40047465444118	0.01572736	100	NA	NA
"MGuberl7"	"0.55"	0.0485476800383076	73	945	945	3.09690415888068	0.01531494	100	NA	NA
"MGuberl7"	"0.6"	0.0485476800383076	73	945	945	2.80865798579652	0.01527667	100	NA	NA
"MGuberl7"	"0.65"	0.0485476800383076	73	945	945	2.56490713456987	0.0159016	100	NA	NA
"MGuberl7"	"0.7"	0.0485476800383076	73	945	945	2.33723917280665	0.01537276	100	NA	NA
"MGuberl7"	"0.75"	0.0485476800383076	73	945	945	2.10294546963662	0.01163395	100	NA	NA
"MGuberl7"	"0.8"	0.0485476800383076	73	945	945	1.88939870895686	0.01233971	99	NA	NA
"MGuberl7"	"0.85"	0.0485476800383076	73	945	945	1.6829910071916	0.01224789	95	NA	NA
"MGuberl7"	"0.9"	0.0485476800383076	73	945	945	1.4553316273072	0.0119025	99	NA	NA
"MGuberl7"	"0.95"	0.0485476800383076	73	945	945	1.18947720727151	0.01202579	97	NA	NA
"MGuberl7"	"0.99"	0.0485476800383076	73	945	945	0.831441874618035	0.01165147	96	NA	NA
"MGuberl7"	"campo_medio"	0.0485476800383076	73	945	945	NA	NA	100	18.3457064691051	0.987244031582958
"MGvico1"	"0.25"	0.23259121186371	93	1825	1825	4.30417786561602	0.01308115	100	NA	NA
"MGvico1"	"0.5"	0.23259121186371	93	1825	1825	2.44737139627666	0.0111099	100	NA	NA
"MGvico1"	"0.55"	0.23259121186371	93	1825	1825	2.22680527840056	0.01116555	99	NA	NA
"MGvico1"	"0.6"	0.23259121186371	93	1825	1825	2.02210831927857	0.007008602	37	NA	NA
"MGvico1"	"0.65"	0.23259121186371	93	1825	1825	1.84027461316153	0.006851549	28	NA	NA
"MGvico1"	"0.7"	0.23259121186371	93	1825	1825	1.67289931738488	0.006496162	30	NA	NA
"MGvico1"	"0.75"	0.23259121186371	93	1825	1825	1.51815934418381	0.006617988	28	NA	NA
"MGvico1"	"0.8"	0.23259121186371	93	1825	1825	1.36457182198493	0.006703771	41	NA	NA
"MGvico1"	"0.85"	0.23259121186371	93	1825	1825	1.19813020737621	0.006764196	30	NA	NA
"MGvico1"	"0.9"	0.23259121186371	93	1825	1825	1.03615341349636	0.007099394	36	NA	NA
"MGvico1"	"0.95"	0.23259121186371	93	1825	1825	0.851237712961055	0.006937794	32	NA	NA
"MGvico1"	"campo_medio"	0.23259121186371	93	1825	1825	NA	NA	78	20.6060733539038	0.999513847037051
"MGvico1"	"0.99"	0.23259121186371	93	1825	1825	0.601536100897279	0.0027627	18	NA	NA
"MGvico16"	"0.25"	0.21847289239375	91	1653	1653	4.52898496481008	0.008790076	100	NA	NA
"MGvico16"	"0.5"	0.21847289239375	91	1653	1653	2.57498911429528	0.008357364	99	NA	NA
"MGvico16"	"0.55"	0.21847289239375	91	1653	1653	2.33755681059084	0.00797962	99	NA	NA
"MGvico16"	"0.6"	0.21847289239375	91	1653	1653	2.12893831494309	0.007907391	99	NA	NA
"MGvico16"	"0.65"	0.21847289239375	91	1653	1653	1.94066769349299	0.006209914	62	NA	NA
"MGvico16"	"0.7"	0.21847289239375	91	1653	1653	1.76949046832563	0.006143932	54	NA	NA
"MGvico16"	"0.75"	0.21847289239375	91	1653	1653	1.59761665542864	0.005861503	60	NA	NA
"MGvico16"	"0.8"	0.21847289239375	91	1653	1653	1.4347471069248	0.005588524	50	NA	NA
"MGvico16"	"0.85"	0.21847289239375	91	1653	1653	1.26414759060142	0.005552716	51	NA	NA
"MGvico16"	"0.9"	0.21847289239375	91	1653	1653	1.09364482924	0.005976762	51	NA	NA
"MGvico16"	"0.95"	0.21847289239375	91	1653	1653	0.898287064777352	0.00596729	63	NA	NA
"MGvico16"	"campo_medio"	0.21847289239375	91	1653	1653	NA	NA	93	20.5850470423502	0.999940584300307
"MGvico16"	"0.99"	0.21847289239375	91	1653	1653	0.637505158681513	0.00439009	96	NA	NA
"MGvico8"	"0.25"	0.313668812302999	195	2303	2303	3.82947532538155	0.01352264	100	NA	NA
"MGvico8"	"0.5"	0.313668812302999	195	2303	2303	2.17481687230037	0.0131298	96	NA	NA
"MGvico8"	"0.55"	0.313668812302999	195	2303	2303	1.98441807416993	0.0135813	84	NA	NA
"MGvico8"	"0.6"	0.313668812302999	195	2303	2303	1.80253923387966	0.01337729	87	NA	NA
"MGvico8"	"0.65"	0.313668812302999	195	2303	2303	1.64724059833367	0.01396009	90	NA	NA
"MGvico8"	"0.7"	0.313668812302999	195	2303	2303	1.48809663942946	0.01359989	90	NA	NA
"MGvico8"	"0.75"	0.313668812302999	195	2303	2303	1.35966537095935	0.01369529	87	NA	NA
"MGvico8"	"0.8"	0.313668812302999	195	2303	2303	1.20394978977024	0.01359712	85	NA	NA
"MGvico8"	"0.85"	0.313668812302999	195	2303	2303	1.07432965180616	0.01315736	78	NA	NA
"MGvico8"	"0.9"	0.313668812302999	195	2303	2303	0.929638884313283	0.01368038	86	NA	NA
"MGvico8"	"0.95"	0.313668812302999	195	2303	2303	0.754828565544793	0.01370478	86	NA	NA
"MGvico8"	"campo_medio"	0.313668812302999	195	2303	2303	NA	NA	99	51.8191028410836	0.878313377277219
"MGvico8"	"0.99"	0.313668812302999	195	2303	2303	0.530085368749465	0.01054827	100	NA	NA
"MSdour"	"0.25"	0.116734787274334	74	1016	1016	5.76373034034623	0.007262443	92	NA	NA
"MSdour"	"0.5"	0.116734787274334	74	1016	1016	3.27353711158607	0.007495516	100	NA	NA
"MSdour"	"0.55"	0.116734787274334	74	1016	1016	2.99035941515404	0.007078159	100	NA	NA
"MSdour"	"0.6"	0.116734787274334	74	1016	1016	2.71438625644153	0.007318171	98	NA	NA
"MSdour"	"0.65"	0.116734787274334	74	1016	1016	2.48042472374955	0.007784726	100	NA	NA
"MSdour"	"0.7"	0.116734787274334	74	1016	1016	2.25429086388393	0.007696668	100	NA	NA
"MSdour"	"0.75"	0.116734787274334	74	1016	1016	2.03197481833076	0.007689732	100	NA	NA
"MSdour"	"0.8"	0.116734787274334	74	1016	1016	1.82161562638002	0.007511956	100	NA	NA
"MSdour"	"0.85"	0.116734787274334	74	1016	1016	1.61142118781619	0.007539615	99	NA	NA
"MSdour"	"0.9"	0.116734787274334	74	1016	1016	1.40097122783865	0.007942902	100	NA	NA
"MSdour"	"0.95"	0.116734787274334	74	1016	1016	1.14284945030182	0.007765301	99	NA	NA
"MSdour"	"0.99"	0.116734787274334	74	1016	1016	0.808092607269233	0.007413074	100	NA	NA
"MSdour"	"campo_medio"	0.116734787274334	74	1016	1016	NA	NA	100	21.5193562581876	0.414235769341117
"PEalia"	"0.25"	0.114091406447269	60	595	595	7.49336510181125	0.01679096	90	NA	NA
"PEalia"	"0.5"	0.114091406447269	60	595	595	4.29593578775808	0.01799061	97	NA	NA
"PEalia"	"0.55"	0.114091406447269	60	595	595	3.89859845659159	0.01804492	98	NA	NA
"PEalia"	"0.6"	0.114091406447269	60	595	595	3.56648404924136	0.01776533	97	NA	NA
"PEalia"	"0.65"	0.114091406447269	60	595	595	3.2359631332288	0.01459772	100	NA	NA
"PEalia"	"0.7"	0.114091406447269	60	595	595	2.94241292786486	0.01464105	100	NA	NA
"PEalia"	"0.75"	0.114091406447269	60	595	595	2.66147389869923	0.01585013	100	NA	NA
"PEalia"	"0.8"	0.114091406447269	60	595	595	2.39345092552449	0.01608925	100	NA	NA
"PEalia"	"0.85"	0.114091406447269	60	595	595	2.10990070112019	0.01332542	100	NA	NA
"PEalia"	"0.9"	0.114091406447269	60	595	595	1.82936038697324	0.0131603	100	NA	NA
"PEalia"	"0.95"	0.114091406447269	60	595	595	1.48773006001497	0.01293331	100	NA	NA
"PEalia"	"0.99"	0.114091406447269	60	595	595	1.05260176121137	0.01312454	100	NA	NA
"PEalia"	"campo_medio"	0.114091406447269	60	595	595	NA	NA	100	18.694842664563	0.544069170512412
