"SiteCode"	"kernel_percentil"	"par.value"	"par.class"	"par.method"	"GOF"	"p"	"J"	"S"
"81"	"BAlenc4"	"0.8"	1197.32594596158	"theta"	"H01"	100	0.159514416903022	893	61
"82"	"BAlenc4"	"0.8"	603.882496926535	"theta"	"E05"	100	0.159514416903022	893	61
"83"	"BAlenc4"	"0.8"	0.0175554188760748	"m"	"CL"	100	0.159514416903022	893	61
"84"	"BAlenc4"	"0.8"	0.0272857418201571	"m"	"CaCL"	100	0.159514416903022	893	61
"85"	"BAlenc4"	"0.85"	1192.43643958956	"theta"	"H01"	100	0.159514416903022	893	61
"86"	"BAlenc4"	"0.85"	601.394980821725	"theta"	"E05"	100	0.159514416903022	893	61
"87"	"BAlenc4"	"0.85"	0.0155449913202471	"m"	"CL"	100	0.159514416903022	893	61
"88"	"BAlenc4"	"0.85"	0.0213941157263827	"m"	"CaCL"	100	0.159514416903022	893	61
"89"	"BAlenc4"	"0.9"	1193.11022476972	"theta"	"H01"	100	0.159514416903022	893	61
"90"	"BAlenc4"	"0.9"	601.737755699928	"theta"	"E05"	100	0.159514416903022	893	61
"91"	"BAlenc4"	"0.9"	0.0134747283120178	"m"	"CL"	100	0.159514416903022	893	61
"92"	"BAlenc4"	"0.9"	0.016075089798074	"m"	"CaCL"	100	0.159514416903022	893	61
"93"	"BAlenc4"	"0.95"	1110.68425262279	"theta"	"H01"	100	0.159514416903022	893	61
"94"	"BAlenc4"	"0.95"	559.830161753035	"theta"	"E05"	100	0.159514416903022	893	61
"95"	"BAlenc4"	"0.95"	0.0109504569530318	"m"	"CL"	100	0.159514416903022	893	61
"96"	"BAlenc4"	"0.95"	0.010616414280077	"m"	"CaCL"	100	0.159514416903022	893	61
"97"	"BAlenc4"	"0.99"	1135.77998463465	"theta"	"H01"	100	0.159514416903022	893	61
"98"	"BAlenc4"	"0.99"	572.584177675895	"theta"	"E05"	100	0.159514416903022	893	61
"99"	"BAlenc4"	"0.99"	0.00770669651696521	"m"	"CL"	100	0.159514416903022	893	61
"100"	"BAlenc4"	"0.99"	0.00525835481356871	"m"	"CaCL"	100	0.159514416903022	893	61
"101"	"BAlenc4"	"campo_medio"	0.000144225604946222	"U"	"H01"	100	0.159514416903022	893	61
"102"	"BAlenc4"	"campo_medio"	0.000288372198901129	"U"	"E05"	100	0.159514416903022	893	61
"103"	"BAlenc4"	"campo_medio"	26.1554626695709	"sd_k"	"CL"	100	0.159514416903022	893	61
"104"	"BAlenc4"	"campo_medio"	145.607608428097	"sd_k"	"CaCL"	100	0.159514416903022	893	61
"105"	"BAuruc"	"0.25"	26351.1610895825	"theta"	"H01"	100	0.769444718591026	1784	230
"106"	"BAuruc"	"0.25"	13433.4395952673	"theta"	"E05"	100	0.769444718591026	1784	230
"107"	"BAuruc"	"0.25"	0.0391558359437452	"m"	"CL"	100	0.769444718591026	1784	230
"108"	"BAuruc"	"0.25"	0.133748143044858	"m"	"CaCL"	100	0.769444718591026	1784	230
"109"	"BAuruc"	"0.5"	30413.6353036741	"theta"	"H01"	99	0.769444718591026	1784	230
"110"	"BAuruc"	"0.5"	15551.3550504193	"theta"	"E05"	99	0.769444718591026	1784	230
"111"	"BAuruc"	"0.5"	0.0223924376914644	"m"	"CL"	99	0.769444718591026	1784	230
"112"	"BAuruc"	"0.5"	0.0437418865074095	"m"	"CaCL"	99	0.769444718591026	1784	230
