"SiteCode"	"kernel_percentil"	"GOF"	"p"	"J"	"S"	"DA"	"J_M"	"sd_k"	"sd_k_"	"U"	"U_"	"theta"	"theta_"	"m"	"m_"	"S_M"	"S_M_"	"spp_I"	"spp_I_"
"15"	"BAlenc4"	"0.5"	79	0.159514416903022	893	61	866.990291262136	69148.7253856304	3.54385375150167	NA	0.01303892	NA	NA	913.523012969472	NA	0.0150658345263937	3964.57962275871	NA	NA	0.240164909077886
"16"	"BAlenc4"	"0.55"	94	0.159514416903022	893	61	866.990291262136	69148.7253856304	3.22901806095574	NA	0.0111799	NA	NA	781.805158530666	NA	0.0123415068832675	3513.19998451468	NA	NA	0.196750583521376
"17"	"BAlenc4"	"0.6"	96	0.159514416903022	893	61	866.990291262136	69148.7253856304	2.94545454795078	NA	0.01197783	NA	NA	838.280480645253	NA	0.010158165027248	3709.19147106623	NA	NA	0.202460571541358
"18"	"BAlenc4"	"0.65"	93	0.159514416903022	893	61	866.990291262136	69148.7253856304	2.67596948857505	NA	0.01222075	NA	NA	855.491816624456	NA	0.00830678359692837	3768.17081826956	NA	NA	0.198309868730875
"19"	"BAlenc4"	"0.7"	92	0.159514416903022	893	61	866.990291262136	69148.7253856304	2.43439363154225	NA	0.01204682	NA	NA	843.167690527723	NA	0.00682318874011218	3725.97358956082	NA	NA	0.188023614936812
"20"	"BAlenc4"	"0.75"	93	0.159514416903022	893	61	866.990291262136	69148.7253856304	2.20072446199996	NA	0.01104252	NA	NA	772.090970508997	NA	0.00553978515794113	3479.09377305378	NA	NA	0.165482486901394
"21"	"BAlenc4"	"0.8"	100	0.159514416903022	893	61	866.990291262136	69148.7253856304	1.97894939096012	NA	0.008657614	NA	NA	603.882496926535	NA	0.00445462840383223	2868.07035045234	NA	NA	0.124353753884017
"22"	"BAlenc4"	"0.85"	100	0.159514416903022	893	61	866.990291262136	69148.7253856304	1.7523222500608	NA	0.008622259	NA	NA	601.394980821725	NA	0.00347515826535277	2858.71715300485	NA	NA	0.118527128803938
"23"	"BAlenc4"	"0.9"	100	0.159514416903022	893	61	866.990291262136	69148.7253856304	1.51895010735186	NA	0.008627131	NA	NA	601.737755699928	NA	0.00259932778476115	2860.00660518306	NA	NA	0.112908302875004
"24"	"BAlenc4"	"0.95"	100	0.159514416903022	893	61	866.990291262136	69148.7253856304	1.23439949060233	NA	0.008031126	NA	NA	559.830161753035	NA	0.00170871792639822	2700.90078702367	NA	NA	0.0982167437930201
"25"	"BAlenc4"	"0.99"	100	0.159514416903022	893	61	866.990291262136	69148.7253856304	0.868743861153187	NA	0.008212588	NA	NA	572.584177675895	NA	0.000842506921459781	2749.63890313572	NA	NA	0.0904986346223996
"26"	"BAlenc4"	"campo_medio"	100	0.159514416903022	893	61	866.990291262136	69148.7253856304	NA	145.607608428097	NA	0.000288372198901129	19.9460335000054	NA	0.232027208557911	NA	NA	162.587627477789	0.0117416800143324	NA
"27"	"BAuruc"	"0.25"	100	0.769444718591026	1784	230	1784	686344.688983195	4.34911988609484	NA	0.01919674	NA	NA	13433.4395952673	NA	0.106186196011181	53102.662986273	NA	NA	3.00120138568134
"28"	"BAuruc"	"0.5"	99	0.769444718591026	1784	230	1784	686344.688983195	2.48717448407954	NA	0.02215624	NA	NA	15551.3550504193	NA	0.033999849416112	59245.090026207	NA	NA	2.49031415676489
