SiteCode,k,MN,U,GOF,p,d,m_,I,J,S,DA,S_m,S_sd,KS.D_mean,KS.D_sd,KS.p_mean,KS.p_sd
BAjuss,0.85,EI,0.0296357,20,0.859421049020215,1.0560031818360616,0.0135836141749457,16.483491556975938,1198,182,1198,70.97,7.755682178932169,0.22880953420174588,0.04568186867565355,0.03581222518603133,0.06793470845947808
BAjuss,0.8,EI,0.02938566,44,0.859421049020215,1.1897364266375456,0.0172522747123013,21.013503566827488,1198,182,1198,86.44,7.947199494034347,0.18609464138917872,0.03739686550214268,0.07475046265350432,0.08780782291192149
BAjuss,0.75,EI,0.02910278,55,0.859421049020215,1.3237664825200983,0.0213727004564388,26.141844252954517,1198,182,1198,100.91,8.963556968935574,0.1654059804104318,0.03372968604551347,0.10690581021951658,0.12784086847280618
BAjuss,0.7,EI,0.02775694,85,0.859421049020215,1.4643618102563944,0.0261741868920037,32.17259317632598,1198,182,1198,118.74,9.353463140851773,0.13345206936343249,0.028806893745074263,0.21890590526203746,0.19332334108984423
BAjuss,0.65,EI,0.02581922,98,0.859421049020215,1.6159258100197784,0.0319024660527595,39.445665881878234,1198,182,1198,135.2,10.651504375183135,0.10186173268947744,0.02334502353973036,0.4411869957255327,0.23266938484132388
BAjuss,0.6,EI,0.0263961,100,0.859421049020215,1.765357866940314,0.0381141020179991,47.430345128522326,1198,182,1198,153.18,10.24978935482002,0.08325536279106113,0.02483839545689849,0.6246315203195321,0.27454527770843395
BAjuss,0.55,EI,0.0258233,100,0.859421049020215,1.9453993369187763,0.0463466692120809,58.173092103631774,1198,182,1198,177.33,10.63732232578417,0.06200495385385281,0.019650077289650847,0.8205144449044262,0.211813498012211
BAjuss,0.5,EI,0.02705866,100,0.859421049020215,2.136474883289262,0.055985509846221,70.98901127567429,1198,182,1198,204.21,12.08245660351228,0.05957411455731438,0.018582331258321073,0.8199947288430921,0.20597371189513564
BAjuss,0.25,EI,0.01592218,0,0.859421049020215,3.7433918757496105,0.175195247714333,254.2525499918859,1198,182,1198,431.43,15.720574564769084,0.21602255384630742,0.014689109780635189,4.850644055201525e-5,1.2800457186628415e-4
BAlenc4,0.99,EI,0.008212588,81,0.159514416903022,0.614294675335603,8.42506921459781e-4,0.7521498654097074,893,61,866.990291262136,5.99,1.9095454004457806,0.47196488302226014,0.1542549871153536,0.31434672580513495,0.2819361263670056
BAlenc4,0.95,EI,0.008031126,73,0.159514416903022,0.8728522504981273,0.00170871792639822,1.5267852356491263,893,61,866.990291262136,10.38,3.2091409845293266,0.40841299784272306,0.1453200347852179,0.23851715681434182,0.2648784068309412
BAlenc4,0.9,EI,0.008627131,82,0.159514416903022,1.0740599211925346,0.00259932778476115,2.324642892868025,893,61,866.990291262136,13.92,3.003970436578626,0.3359411074391725,0.09494057572931071,0.2600941579521735,0.254788525416381
BAlenc4,0.85,EI,0.008622259,76,0.159514416903022,1.2390789458420606,0.00347515826535277,3.1106511778459915,893,61,866.990291262136,17.7,3.6639108100829128,0.30920576156686547,0.0942978388811883,0.2558119351591476,0.24442396221490964
BAlenc4,0.8,EI,0.008657614,81,0.159514416903022,1.399328533972889,0.00445462840383223,3.9913083316811084,893,61,866.990291262136,21.53,4.6022721661054655,0.2728379423274004,0.08501784355943807,0.3063629794933282,0.2762946905583103
BAlenc4,0.75,EI,0.01104252,94,0.159514416903022,1.5561471906032882,0.00553978515794113,4.969015639975401,893,61,866.990291262136,25.3,3.58024884863913,0.22596540254763992,0.05838444370672981,0.3949654283060451,0.2584037475196481
BAlenc4,0.7,EI,0.01204682,93,0.159514416903022,1.7213762449408705,0.00682318874011218,6.128097522191793,893,61,866.990291262136,30.87,5.139773606616611,0.21480476290403092,0.0646955268971056,0.3919050350708896,0.2570814063370993
BAlenc4,0.65,EI,0.01222075,98,0.159514416903022,1.8921961716197153,0.00830678359692837,7.471716903878133,893,61,866.990291262136,35.15,5.168621331133329,0.17954120675872273,0.051268532023860044,0.5180721915089447,0.2765337101405795
BAlenc4,0.6,EI,0.01197783,98,0.159514416903022,2.0827508845327536,0.010158165027248,9.154071776077886,893,61,866.990291262136,41.6,5.6586395909442775,0.16855710293407491,0.04822462363851827,0.5319362318191299,0.26300484005168867
BAlenc4,0.55,EI,0.0111799,100,0.159514416903022,2.28326056747564,0.0123415068832675,11.146184857009565,893,61,866.990291262136,47.43,5.0136278927005185,0.14676748885209917,0.040864522433641554,0.6164609648376506,0.26563380092263994
BAlenc4,0.5,EI,0.01303892,100,0.159514416903022,2.505883019220217,0.0150658345263937,13.644286967221975,893,61,866.990291262136,55.31,6.243695810474544,0.1300845317890984,0.03568567621542754,0.6972800854291531,0.2509605333372263
