"","Site","k","MN","GOF","U","S","p","m_","J","DA","S_m","S_sd"
"113","MGuberl7","0.8","EE",99,0.01233971,73,0.0485476800383076,0.00125562071208531,945,945,73.58,6.64569428466677
"114","MGuberl7","0.75","EE",100,0.01163395,73,0.0485476800383076,0.00156468570292594,945,945,70.16,6.60229528499771
"115","MGuberl7","0.7","EE",100,0.01537276,73,0.0485476800383076,0.00194680108644663,945,945,72.23,8.19195836282032
"116","MGuberl7","0.65","EE",100,0.0159016,73,0.0485476800383076,0.00236296447749227,945,945,74.52,8.19026275771443
"117","MGuberl7","0.6","EE",100,0.01527667,73,0.0485476800383076,0.0028597922229612,945,945,72.42,7.32393336944022
"118","MGuberl7","0.55","EE",100,0.01531494,73,0.0485476800383076,0.00351946618506062,945,945,71.29,7.13547829546489
"119","MGuberl7","0.5","EE",100,0.01572736,73,0.0485476800383076,0.00430432491502818,945,945,71.77,7.21650045298126
"120","MGuberl7","0.25","EE",82,0.01945092,73,0.0485476800383076,0.0159634266995385,945,945,73.01,9.16790074337654
"121","MGvico1","0.99","EE",18,0.0027627,93,0.23259121186371,0.000596286916575107,1825,1825,90.93,8.20354074824285
"122","MGvico1","0.95","EE",32,0.006937794,93,0.23259121186371,0.00119644028594174,1825,1825,92.27,8.62092240020191
"123","MGvico1","0.9","EE",36,0.007099394,93,0.23259121186371,0.00177608589237469,1825,1825,94.13,7.98439766423279
"124","MGvico1","0.85","EE",30,0.006764196,93,0.23259121186371,0.00237948296986304,1825,1825,90.34,7.44843553500948
"125","MGvico1","0.8","EE",41,0.006703771,93,0.23259121186371,0.00309372457325629,1825,1825,90.22,7.95007146908984
"126","MGvico1","0.75","EE",28,0.006617988,93,0.23259121186371,0.00383865346112759,1825,1825,88.46,7.58310189457021
"127","MGvico1","0.7","EE",30,0.006496162,93,0.23259121186371,0.0046737321640872,1825,1825,89.15,7.63878328668971
"128","MGvico1","0.65","EE",28,0.006851549,93,0.23259121186371,0.00567412492773657,1825,1825,90.64,7.53244832559625
"129","MGvico1","0.6","EE",37,0.007008602,93,0.23259121186371,0.00687751946596762,1825,1825,94.64,8.06228280578175
"130","MGvico1","0.55","EE",99,0.01116555,93,0.23259121186371,0.00838086302843271,1825,1825,95.3,10.1648036047546
"131","MGvico1","0.5","EE",100,0.0111099,93,0.23259121186371,0.0101818814479997,1825,1825,94.28,9.82172401497123
"132","MGvico1","0.25","EE",100,0.01308115,93,0.23259121186371,0.0338744030008821,1825,1825,91.8,9.07210175775329
"133","MGvico16","0.99","EE",96,0.00439009,91,0.21847289239375,0.000629254688259412,1653,1653,90.75,7.69149471228388
"134","MGvico16","0.95","EE",63,0.00596729,91,0.21847289239375,0.0012521426248328,1653,1653,90.46,8.74373657499637
"135","MGvico16","0.9","EE",51,0.005976762,91,0.21847289239375,0.00186000988751704,1653,1653,90.02,7.53976662822403
"136","MGvico16","0.85","EE",51,0.005552716,91,0.21847289239375,0.00249075232163565,1653,1653,88.59,8.29761435838061
