"SiteCode"	"kernel_percentil"	"S.medio"	"S.var"	"p"	"S.obs"	"DA"	"N"	"txt.file"	"kernel_type"	"kernel_code"	"dist_0"	"kernel"	"U"	"U.var"	"KS"	"KS.var"	"KS_p"	"KS_p.var"	"GOF"	"date"
"ESsoor"	0.75	221.79	10.9768305116189	1	226	1468	1468	"ref8_ES_10.txt"	"laplace"	"2"	2.6099787548594	1.69189083653895	0.03056559	3.91121000988889e-06	0.0747932652113244	0.000380452170735443	0.576891875059412	0.075629630320604	100	"yes"
"ESsoor"	0.8	223.3	10.8558042009095	1	226	1468	1468	"ref8_ES_10.txt"	"laplace"	"2"	2.6099787548594	1.51819753849009	0.03120466	2.21999247822222e-06	0.0741188797915463	0.000369301279316341	0.578582781019395	0.0654923357965079	100	"yes"
"ESsoor"	0.85	223.61	10.3053335215266	1	226	1468	1468	"ref8_ES_10.txt"	"laplace"	"2"	2.6099787548594	1.34243224928188	0.03097963	6.58581993444446e-07	0.0769693114328996	0.000406728929680619	0.543256319599066	0.0722078588304087	99	"yes"
"ESsoor"	0.9	225.71	12.4772884583441	1	226	1468	1468	"ref8_ES_10.txt"	"laplace"	"2"	2.6099787548594	1.16380278263457	0.03135496	8.99310891555558e-07	0.0719378755642041	0.000350968173908621	0.615891047142005	0.0725202518211708	100	"yes"
"ESsoor"	0.95	228.95	11.1530898921068	1	226	1468	1468	"ref8_ES_10.txt"	"laplace"	"2"	2.6099787548594	0.946921626609083	0.03160253	1.47689733788889e-06	0.0732423715613568	0.000402185280606656	0.59137075175153	0.0704889101313878	99	"yes"
"ESsoor"	0.99	228.5	11.5780181831998	1	226	1468	1468	"ref8_ES_10.txt"	"laplace"	"2"	2.6099787548594	0.662264944152733	0.01710153	2.11802537888889e-07	0.0699659637922989	0.000316917874818435	0.638663661106371	0.0607253049290857	100	"yes"
"MGarap1"	0.25	93.96	8.38097894525503	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	4.02302948345674	0.003375713	2.05830613444445e-09	0.180021819938998	0.00138580252444085	0.158694208829834	0.0271052111314494	66	"yes"
"MGarap1"	0.5	98.48	7.3724576169098	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	2.2934883158178	0.004105701	2.520141161e-08	0.190644760526923	0.00140672244764852	0.112954009799259	0.0170020307546839	53	"yes"
"MGarap1"	0.55	97.92	7.09200716698493	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	2.09228021289514	0.004588384	2.36011466933333e-08	0.192774650335184	0.00160006445551793	0.110516222191508	0.0155171708794929	55	"yes"
"MGarap1"	0.6	93.26	7.18671614083156	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	1.89959962513525	0.004276538	1.14885937795556e-07	0.204317907720125	0.00169881026118055	0.0892826149037768	0.0158929954883243	47	"yes"
"MGarap1"	0.65	93.72	8.03411916186651	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	1.72972605512572	0.004297878	4.41720569511111e-08	0.20295989715766	0.00203470185296542	0.0997968703882437	0.0190371547658336	45	"yes"
"MGarap1"	0.7	91.99	8.82088316428575	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	1.57996447668081	0.004126534	5.63183342488888e-08	0.20736014714275	0.00151996715759354	0.0794630369266135	0.0148969218237668	38	"yes"
"MGarap1"	0.75	90.5	7.4433890402182	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	1.42235614384459	0.00404552	6.08689872222222e-08	0.214658054157584	0.00226835003329499	0.0796442928286781	0.0136449000198111	44	"yes"
"MGarap1"	0.8	90.56	7.54156160984922	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	1.27381172936718	0.004178105	1.36990399716667e-07	0.205305407539229	0.00196667960367872	0.0948207760403858	0.0141221131406544	49	"yes"
"MGarap1"	0.85	97.25	8.30647185918756	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	1.13431707090679	0.004495772	1.44647562973333e-07	0.193311174964789	0.00142732376330425	0.108109412473551	0.0155402845927105	53	"yes"
"MGarap1"	0.9	93.82	7.94091819742414	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	0.975688854428472	0.004281329	1.552215241e-08	0.206231966747959	0.00163066953600905	0.0821865066977495	0.0131458453876764	43	"yes"
"MGarap1"	0.95	90.03	7.65474039436025	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	0.793629882580749	0.004083694	5.93402198933333e-08	0.208229968439793	0.00181334009337625	0.087809531087309	0.017744812506738	45	"yes"
"MGarap1"	0.99	91.71	8.35245684535606	0.728749442631224	92	2080	2080	"ref238_MG_321.txt"	"laplace"	"2"	2.19264504826757	0.56012339505749	0.0023688	1.88863174e-08	0.194056187523132	0.00197617192656903	0.124105010917448	0.0192803710535852	59	"yes"
