"SiteCode"	"kernel"	"rep"	"theta"	"m"
"BAjuss"	"0.25"	"98"	68.1052196288606	0.592394201487905
"BAjuss"	"0.25"	"99"	54.3974943381708	0.990266354039569
"BAjuss"	"0.25"	"100"	68.5118333607781	0.753917751105429
"BAjuss"	"0.5"	"1"	59.3621896882243	0.905170224608092
"BAjuss"	"0.5"	"2"	55.1001503846247	0.840244643815191
"BAjuss"	"0.5"	"3"	67.6936054593136	0.742816398078891
"BAjuss"	"0.5"	"4"	80.7807753590627	0.340169895798522
"BAjuss"	"0.5"	"5"	54.4612203546847	0.987921727261515
"BAjuss"	"0.5"	"6"	65.086992852334	0.635297782110901
"BAjuss"	"0.5"	"7"	78.8512197932957	0.510231133762561
"BAjuss"	"0.5"	"8"	120.212298235546	0.117199563855617
"BAjuss"	"0.5"	"9"	67.0559671491021	0.622316754192465
"BAjuss"	"0.5"	"10"	78.4175571804699	0.518456079792305
"BAjuss"	"0.5"	"11"	58.8146017327279	0.824102339219436
"BAjuss"	"0.5"	"12"	73.1514100937906	0.835951735981031
"BAjuss"	"0.5"	"13"	71.3964980626519	0.999880600202969
"BAjuss"	"0.5"	"14"	61.1401332546668	0.926502546929922
"BAjuss"	"0.5"	"15"	79.7328955276347	0.556862319221284
"BAjuss"	"0.5"	"16"	69.4920973624985	0.88429727685171
"BAjuss"	"0.5"	"17"	82.3404107624875	0.629766681113401
"BAjuss"	"0.5"	"18"	67.9739221169313	0.687444988363444
"BAjuss"	"0.5"	"19"	50.3466023960251	0.999806629306871
"BAjuss"	"0.5"	"20"	71.6754692736394	0.898624249005469
"BAjuss"	"0.5"	"21"	176.472896494958	0.0938868099448568
"BAjuss"	"0.5"	"22"	81.2638687198241	0.393597615900375
"BAjuss"	"0.5"	"23"	64.3779761819356	0.962713487361033
"BAjuss"	"0.5"	"24"	61.8700616375363	0.994172387516913
"BAjuss"	"0.5"	"25"	67.5171994383651	0.646013316452813
"BAjuss"	"0.5"	"26"	63.4293586276259	0.999829351400821
"BAjuss"	"0.5"	"27"	62.302817501382	0.598306809087223
"BAjuss"	"0.5"	"28"	75.1031262283958	0.40304307404028
"BAjuss"	"0.5"	"29"	192.961877063894	0.101334159558133
"BAjuss"	"0.5"	"30"	64.3160026288897	0.999932362876329
"BAjuss"	"0.5"	"31"	59.9524129214897	0.999804464902817
"BAjuss"	"0.5"	"32"	79.345973252528	0.610245349511086
"BAjuss"	"0.5"	"33"	66.7245838199706	0.859413442689519
"BAjuss"	"0.5"	"34"	58.7329567409114	0.990389857358098
"BAjuss"	"0.5"	"35"	71.8195965459033	0.585215033691091
"BAjuss"	"0.5"	"36"	64.9488180213119	0.961078502067825
"BAjuss"	"0.5"	"37"	58.1468471588896	0.999933146539434
"BAjuss"	"0.5"	"38"	67.656105027228	0.888924308937693
"BAjuss"	"0.5"	"39"	59.7561909019149	0.673673840033133
"BAjuss"	"0.5"	"40"	226.799929571334	0.0858115998938752
"BAjuss"	"0.5"	"41"	48.9909246389848	0.999571459267687
"BAjuss"	"0.5"	"42"	247.895508917047	0.103343351881212
"BAjuss"	"0.5"	"43"	77.5531130524924	0.625140767198553
"BAjuss"	"0.5"	"44"	65.1473678595351	0.782534193248064
"BAjuss"	"0.5"	"45"	63.4061712257321	0.615474041720491
"BAjuss"	"0.5"	"46"	61.3260053096005	0.717949009389201
"BAjuss"	"0.5"	"47"	248.558647080893	0.0801740743249054
"BAjuss"	"0.5"	"48"	67.9713957210437	0.777121781007977
"BAjuss"	"0.5"	"49"	58.3957057502692	0.663880119901832
"BAjuss"	"0.5"	"50"	58.3423288782835	0.846534705348921
"BAjuss"	"0.5"	"51"	62.8648006241044	0.968805625419732
"BAjuss"	"0.5"	"52"	71.3723582317829	0.999507000765749
"BAjuss"	"0.5"	"53"	74.9609348680357	0.828405846348359
"BAjuss"	"0.5"	"54"	66.7671833395215	0.713730887664628
"BAjuss"	"0.5"	"55"	69.9973538980546	0.483086089262112
"BAjuss"	"0.5"	"56"	72.1987693619628	0.501018070256743
"BAjuss"	"0.5"	"57"	72.4530789439324	0.865767367102535
"BAjuss"	"0.5"	"58"	62.8873505642304	0.677062357045991
"BAjuss"	"0.5"	"59"	65.0367765266199	0.599755236947286
"BAjuss"	"0.5"	"60"	78.7519151465076	0.32858862749401
"BAjuss"	"0.5"	"61"	57.6121117900763	0.999545577974615
"BAjuss"	"0.5"	"62"	72.5563393189621	0.766501012217311
"BAjuss"	"0.5"	"63"	62.8914545451691	0.634437678574913
"BAjuss"	"0.5"	"64"	67.211494722581	0.809570338534522
"BAjuss"	"0.5"	"65"	84.478494985998	0.348276942630573
"BAjuss"	"0.5"	"66"	75.133922980428	0.661092302411913
"BAjuss"	"0.5"	"67"	59.7582177163956	0.79905610963759
"BAjuss"	"0.5"	"68"	239.382514963108	0.0928730777323825
"BAjuss"	"0.5"	"69"	59.7960017691156	0.769208337248167
"BAjuss"	"0.5"	"70"	75.0644810462277	0.423217910623918
"BAjuss"	"0.5"	"71"	56.8183518739865	0.983424757955451
"BAjuss"	"0.5"	"72"	91.792079307524	0.310608059668036
"BAjuss"	"0.5"	"73"	59.2437516424435	0.517516120645855
"BAjuss"	"0.5"	"74"	59.0709634248011	0.999520581957435
"BAjuss"	"0.5"	"75"	69.910785954908	0.765785777386643
"BAjuss"	"0.5"	"76"	79.1185620828553	0.394934621712135
"BAjuss"	"0.5"	"77"	50.8424296817578	0.994017248248969
"BAjuss"	"0.5"	"78"	71.9852022648208	0.999807999726814
"BAjuss"	"0.5"	"79"	77.2961678622284	0.633564086585774
"BAjuss"	"0.5"	"80"	53.974245885338	0.922561572664018
"BAjuss"	"0.5"	"81"	66.8601172898776	0.651523116463709
"BAjuss"	"0.5"	"82"	66.3608248540524	0.752635783495087
"BAjuss"	"0.5"	"83"	78.6650748092254	0.474447816364506
"BAjuss"	"0.5"	"84"	69.9174586822327	0.999279091135994
"BAjuss"	"0.5"	"85"	70.7301400999324	0.708421220841243
"BAjuss"	"0.5"	"86"	66.734082752806	0.91482019815241
"BAjuss"	"0.5"	"87"	75.8257518642144	0.421723613793117
"BAjuss"	"0.5"	"88"	65.5520639708921	0.676850068001637
"BAjuss"	"0.5"	"89"	67.6456609974916	0.624407915748421
"BAjuss"	"0.5"	"90"	74.028548863958	0.576475094362267
"BAjuss"	"0.5"	"91"	57.8671700650391	0.763066979662029
"BAjuss"	"0.5"	"92"	74.7104146531916	0.967480484917025
"BAjuss"	"0.5"	"93"	55.9086053664595	0.88330712160005
"BAjuss"	"0.5"	"94"	75.4746980811049	0.463499505357514
"BAjuss"	"0.5"	"95"	70.0508672799488	0.636524591516072
